stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,213.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.52,0,0,0,0,0,0
  5-6,147.64,0,0,0,0,0,0,0,0,0,0,0,0,8.78,0,0,0,0,111.94,0,0,0,0,0,0
  7-9,4.57,9.61,0,0,0,0,0,0,0,0,0,0,0,60.61,4.1,0,0,46.04,9.05,0,0,0,0,0,0
 10-12,16.44,9.78,0,0,0,0,0,0,0,0,0,0,0,64.65,0,0,0,55.27,16.46,0,0,0,3.87,0,0
 14-21,0,0,6.28,2.73,0,0,0,15.18,0.97,0,0,7.17,0,37.15,0,0,8.56,0.97,164.1,0,7,76.61,11,53.7,0
 24-34,0,0,0.6,0,0,0.79,0,4.53,0,0,0,5.45,0,10.85,0,0.78,0,0,35.22,0,0,25.46,0,7.97,0
 36-46,0,0,0,0,0,0,0,1.7,0,0.68,0,0,1.17,25.38,0,1.55,0.69,0,30.39,0,0,8.52,0,4.96,0.57
 48-58,0,0,0.43,0,0,0.4,0,9.27,0,0,0,0,1.11,2.55,0,4.76,0,0,14.22,0,0,1.22,0,8.69,0
 60-70,0,0,0,0,0,0.57,0,1.7,0,0,0,0,0,0,0,2.16,0,0,4.44,0,0,3.18,0,3.45,0
 72-82,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0.73,0,0,0,0,0,1.15,0,2.17,0
 84-94,0,1.01,0,0,0,0,0,0.57,0,0,0,0,0,0,0,3.99,0,0,0.89,0,0,0,0,0.89,0
 96-106,0,0,0.6,0,0.9,0,0,0,0,0,0,3.27,0,2.35,0,0.59,0,0,0,0,0,1.05,0,0,0
108-118,0,0,0,1.49,0,0.58,0.66,4.83,0,0,0.58,0,0,0,0,3.6,0,0,1.25,0,0,0.43,0,0.71,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,2.12,0,1.57,0
