stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching.gland,lateral.line,mesenchyme,mucous,neural,olfactory,otic,pgc,spinal.cord,vasculature
  3-4,10.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0
  7-9,0,0,0,0,0,8.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.45,0,0,0,0,0,0,0,0,5.62,0,0
 14-21,0,0,0,0,0,0,0,0,0,4.59,0,0,0,4.29,0
 24-34,0,0,0,0.67,0,0,0,0.98,0,65.98,0,0,0,17.17,0
 36-46,0,0,0,0.97,0,0,0,0,0,184.65,1.99,0,0,23.9,0
 48-58,0,0,0,23.72,1.26,0,0,1.76,0,227.43,0.93,0,0,18.86,0
 60-70,0,0,0,45.97,4.38,0,0,0,1.09,422.97,0,0,0,52.61,0
 72-82,0,0,0.51,58.21,6.89,0,0,2.97,0,534.18,0,1.28,0,34.96,3.98
 84-94,0,0.98,0,60.93,12.84,0,0,3.09,0,346.87,0,0.68,0,17.66,0
 96-106,0,0.85,0,37.18,10.74,0,0.75,2.58,0,348.29,0,0,0,14.34,0
108-118,0,8.12,0,33.13,9.93,0,0,2.52,0,309.32,0,0.78,0,3.6,0
120,0,0,0,3.85,3.88,0,0,4.71,0,398.19,0,0,0,20.77,0
