stage,epidermis,eye,fast.muscle,gut,mesenchyme,neural,olfactory
 24-34,0,0,0,0,0,0.64,48.39
 48-58,0,1.91,0,0,0,0,1.62
 84-94,0,0,0,0,3.7,0,0
 96-106,2.13,0,5.83,26.98,0,3.24,22.65
108-118,0,0,0,0,0,0,2.89
120,0,0,0,0,0,0,114.07
