stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.3,0,0,0,0,0,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,14.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.32,2.18,29.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,213.47,0.9,0,1.89,0.94,0,0,1.23,0,25.68,0,0,0,0,3
 24-34,0,0.9,0,2.08,0,0,20.84,0,0,0,4.75,0,0,0,0,0,5.2,0,0,5.94,6.74,0,0,1.76,353.66,0,22.25,9.18,0,0,0,0,0,49.06,0,0,0,0,54.67
 36-46,0,0,0,0,0,0,44.97,0.58,0.81,0,18.78,0,0,0.6,0,0,16.82,0,0,28.27,20.53,0,0,1.51,541.07,0.67,23.97,15.87,0,0,0,0,0.6,119.92,0,0,5.95,0,86.14
 48-58,0,0,0,7.66,0,0,44.68,1.01,0,0,29.88,0.39,0,0.78,0,0,21.38,0.4,0,13.48,34.29,0,1.17,3.76,871.91,1.2,25.78,23.11,0,0,0,0,0,372.37,0,0,2.94,0,125.93
 60-70,0,0,0,0,0,0,82.69,1.47,0,1.51,92.02,0,0,0,0,0,43.82,0.64,0,13.01,64.44,0,3.1,12.5,1745.88,1.01,5.61,29.8,0,0,3.1,0,0,485.83,0,0,0.64,1.13,153.15
 72-82,0,1.45,0,3.02,0,0,132.42,5.72,0.5,8.73,75.84,0,2.07,0,0,0,47.69,7.35,0,22.69,81.12,0,28.15,21.11,2130.49,0,18.37,39.35,0,1.53,4.04,0,0,418.31,0.8,1.82,0,1.16,108.2
 84-94,0,0,0,18.07,0,0,175.87,5.02,0.9,0.94,84.28,2.65,0,0.78,0.84,1.94,47.4,4.85,0,29.28,100.36,0,11.48,17.04,1589.4,0,10.31,48.92,0,0,0.59,0,0,246.54,0,0.58,0,0,110.7
 96-106,0,0.99,0,12.66,0,5.91,126.9,1.41,0,7.51,105.4,0.83,0,0,4.7,1.25,56.4,9.45,6.67,30.52,102.06,3.31,15.71,23.08,1495.54,3.32,30.13,50.14,0,0,3.06,0,0,119.91,2.66,0,0.68,0,76.44
108-118,0,2.29,0,4.9,0,0,145.48,6.09,0.54,0.43,100.13,0.78,0,0,2.46,0,87.89,11.62,0,18.38,106.6,0,10.98,20.16,1984.13,0.5,9.18,60.42,0,0,4.1,0,0,135.52,0.68,0,2.46,1.27,123.96
120,0,0,0,3.88,2.1,0,86.39,7.46,0,0,72.64,1.19,0,4.89,0,0,40.04,15.7,8.82,4.64,113.69,0,14.25,1.54,2242.23,0,4.85,32.52,0,0,0,0,0,322.1,0,0,10.6,0,74.27
