stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.23,374.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.99,360.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.1,5,0,3.55,0,0,64.08,0,0,0,0,7.85,0,0,0,0,0,0,0,0,300.28,16.54,0,0,104.61,0,0,0,0,0,0,0,0,0,0
 10-12,0,19.43,0,38.36,0,0,54.58,0,0,0,0,15.77,0,0,0,0,0,0,0,0,524.13,5.7,0,0,99.85,0,0,61.77,0,7.28,0,0,0,0,0
 14-21,0,0,0,0.9,7.96,0.83,18.13,0,0,3.58,1.18,0,0,0,0,0,0,14.08,0,6.11,139.92,0.89,0,0.94,18.3,0,15.53,0,0,27.79,33.21,0,0,0,0
 24-34,0,0,0.6,0,2.54,0,23.42,0,0,1.11,0,0,0,0,1.15,0,0,9.78,0,3.22,158.82,0,1.76,1.83,0,1.3,0,0,0,1.3,31.63,0,7.8,0,2.12
 36-46,0,0,0,0,0,0,36.53,0,0.96,5.56,0.95,0,0.9,1.3,2.31,0,0,21.36,0,5.43,92.49,0,0,0.58,0,8.44,0,0,0,0,13.49,1.04,1.31,0,0
 48-58,0,0,0,0,1.66,0,30.48,0,1.55,8.1,0,0,0.88,0,0,0,0,24.21,0.44,1.54,84.56,0,0,0,0,15.58,0,0,0,0,20.64,0,0.63,0,0
 60-70,0,0,0,0,0,0,33.18,0,0.84,9.3,0.62,0,0,8.85,0,0,0,19.04,0,2.5,39.68,0,0,0.79,0,1.89,0,0,0,0,16.7,0,2.11,0,0
 72-82,0,0,0,0,1.39,3.39,3.5,0,0.5,7.7,0,0,0,0.59,0,0.89,0,19.9,0,4.07,33.07,0,0.5,0,0,0.93,0,0.55,0,0,0,0,2.78,0.52,0
 84-94,0,0,0,0,3.07,0,9.58,0,0,9.01,0.57,0,0.88,0,8.94,0,2.21,21.74,0,6.13,28.28,0,4.02,0,0,2.56,0,0,0,0,15.22,1.03,5.89,0,3
 96-106,0,0,0,0,3.49,1.27,14.95,0,1.34,15.77,0,0,0,0,0,0,0,16.11,0,0.76,15.36,0,0,1.46,0,4.47,0,0.67,0,0,1.6,0,1.93,0.68,0.8
108-118,0,0,0,0,11.08,0.69,8.5,0.46,1,16.79,0.48,0,0,2.72,0.94,0,2.8,42.61,0,12.54,38.35,0,1.48,0.49,0,3.45,0,0.59,0.66,0,1.88,0,11.2,0.5,4.53
120,0,0,0,0,0,0,10.74,0,4.1,17.85,0,0,0,11.48,0,0,0,31.9,0,1.46,41.61,0,1.61,2.8,0,0,0,0,0,0,0,0,9.77,0,0
