stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,glial,mesenchyme,neural,olfactory,periderm,pgc,slow_muscle,spinal_cord
  3-4,11.6,272.01,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,89.32,0,0,0,0,0,8.85,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.95,0,0,5.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.16,0
 24-34,0,0,0,0,0,0,0,15.7,0,0,0,0,7.06
 36-46,0,0,0,0,0,0,0,38.14,0.62,0.57,0,0,4.6
 48-58,0,0,0,0,0,0,0.49,57.58,0,0,0,0,0
 60-70,0,0,0,0,1.95,0,0,21.13,1.79,0,0,0,1.12
 72-82,0,0,0.5,0.77,1.98,0,0,13.83,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,15.18,0,0,0,0,0
 96-106,0,0,0,0,3.44,1.01,1.04,7.34,0,0,0,0,0
108-118,0,0,0,0,0,1.89,0,5.51,0,0,0,0,0
120,0,0,0,0,0,0,0,37.36,0,0,0,0,0
