stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.14,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,0,5.82,3.07,0,0,0,0,0,0
 14-21,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,2.5,0,0,0,1.33,1.07,1.12,0,0,0,0
 24-34,0,0,0,0,0,0,1.22,0.91,0,0,1.11,0,0,0,0,0,0,0,0,3.53,0,3.16,10.85,0,0.6,0,23.71,0,1.65,1.96,0,2.74,0
 36-46,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,5.61,0,0,29.9,0,0,0,46.18,0,0,2.77,0,0,0
 48-58,0,0,0,3.77,0,0,4,0,0.71,0,5.72,0,0,0,0,0,0,0,0,2.97,0,0,18.48,0,0,0,22.2,0,0,7.41,0,0,0
 60-70,0,0,0,1.73,0,0,6.95,0,0.61,1.28,0.66,0,0,0,0,0,0,0,0,7.43,0,0,62.15,1.09,0,0,46.54,0,0,12.36,0,2.3,0
 72-82,0,0,0,3.32,0,0,12.1,6.45,0,0,1.43,1.08,0,0,0,0,0,0,1.8,5.74,0,0,67.79,0,0,0,34.9,0,0,6.63,0,0.71,3.64
 84-94,0,0,0,4.12,0.66,0,16.24,0,0,0,0,0,0,0,0,0.74,0,0,0,4.78,0.92,0,43.09,0,0,0,44.13,0,0,7.83,0.57,1.78,0
 96-106,0,0,0,0.59,0,0,12.97,0,0,0,0,0.68,0,2.94,0,0.83,0,0,0,0.57,0,0,59.5,0,2.02,0,26.35,0,0,0,0,0,0
108-118,0,0.95,0.49,4.5,0,0,11.42,0,2.19,0,0.98,1.01,0,0,0,0.89,0.89,0.46,0,1.69,0,0.47,24.99,0,0.92,0,37.27,0,0,0,0.71,0,0
120,0,0,0,17.91,1.08,3.41,17.06,0,0,0,0,1.19,0,0,6.34,0,0,0,0,21.62,2.93,0,93.88,1.54,0,0,45.66,0,0,0,0,10.91,4.54
