stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,immune,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,visceral.smooth.muscle
  3-4,0,53.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.84,30.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.25,0,0,8.42,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,48.8,4.6,0,0,0,0,0
 14-21,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0
 24-34,0,0,0,0,1.33,0,0,0,0,0,0.92,3.35,0,0,0,0,0.95,0
 36-46,0,0,0,0,0,0,0,0,0,0.7,0,14.27,0,0,0,0,9.98,0
 48-58,0,0,0,0,2.74,0,0,0,0,0,0,12.44,0,0,0,0.91,2.93,0
 60-70,0,0,0,0,0.76,0,0,0,0,0,0,11.28,0,0.87,0,0,2.14,0
 72-82,0,0,0,0,2.66,0,0,0,0,0,0,13.06,0,0,0,0,0,0
 84-94,0,0,0,0,10.38,0,0.91,0,0,1.6,0,13.85,0,0,0,6.18,0,0
 96-106,0,0,0,0,3.09,0,0,1.16,0.65,0,0,12.21,0,0,0,0,9.43,0.8
108-118,0,0,0,1.62,5.12,0.69,0,0,0,0,0,9.19,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,19.74,0,0,0,0,0,0
