stage,blastomeres,epidermis,eye,glial,gut,ionocyte,liver,mesenchyme,neural,notochord,periderm,taste
  3-4,45.05,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.26,0,0,0,0,0,0,0,0,0,7.36,0
  7-9,0,0,0,0,0,0,0,0,5.43,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.59,0,0,0
 36-46,0,0,0,0,0,0,0,0.83,19.93,0,0,0
 48-58,0,0,0,0,0,0,0,0,28.49,0,0,0
 60-70,0,9.02,0,0,0,0,0,0,23.72,0,0,0
 72-82,0,1.11,11.3,1.68,0,0,0,0.68,38.13,0,0,0
 84-94,0,0,0,10.08,0,0,0,0,30.66,0,0,0
 96-106,0,0.74,9.68,59.25,0,18.22,3.08,1.35,63.58,0,0,0
108-118,0,0,9.25,93.75,0,0,0,0.63,72.38,0,0.45,1.35
120,0,0,22.35,263.55,2.93,0,0,5.72,193.35,6.07,0,0
