stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,219.33,2903.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.02,0,0,0,0,0,0,0,0
  5-6,48.68,1205.86,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.04,0,0,0,9.32,0,55.94,0,0,0,0,0,0,0,0
  7-9,0,11.76,3.85,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,182.94,3.7,0,0,161.2,0,0,11,0,0,0,0,0,0,0
 10-12,0,6.96,101.04,0,4.44,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.12,0,0,0,225.45,0,0,0,0,422.9,5.3,0,0,0,0
 14-21,0,0,2.26,0,103.35,1.82,0,0,0,1.78,0,5.19,0,1.37,0,0,0,34.07,0,0,0.9,24.2,1.17,0,0,13.23,0,0,0,13.02,5.2,0,1.7,0,27.27,0
 24-34,0,0,0,2.36,6.55,4.04,0,1.57,0,0,0,21.4,3.47,0,1.03,0,0,1.65,0,0,7.03,60.35,0,0,0,0,0,4.86,0,0,0,8.01,15.22,0,116.11,0
 36-46,0,0,0,0,0,9.86,0,4.58,14.36,0,0,12.78,2.93,0,0,0,0,3.83,0,0,6.05,91.14,0,0,0,0,0,0,0,0,0.7,0,30.99,0,18.01,0.78
 48-58,0,0,0,0,2.47,22.67,0.89,8.63,23.88,0,0,22.82,5.18,0,0,0.47,0.6,7.15,0,0,4.65,95.26,0,0,0.4,0,0,0,0,0,0,0,42.26,0.4,40.5,1.45
 60-70,0,0,0,0,3.24,55.06,0,4.83,181.13,0.85,0,24.44,12.38,0,0,0,0,12.44,0,6.67,0,57.58,0,0,0.82,0,2.45,0.91,0,0,0,0,18.93,0,56.12,0
 72-82,0,0,0,1.28,9.39,40.72,0,12.91,159.18,1.13,0,43.14,53.63,0,0,8.08,1.92,27.45,8.82,4.03,0,102.11,0,0.58,1.21,0,10.3,0,0,0,0,0,31.47,1.82,69.62,3.34
 84-94,0,0,0,0,12.42,23.38,0,10.32,135.41,0.63,0,29.01,69.68,0,0,3.52,0,17.43,0,3.81,0,72.08,0,6.76,0,0,2.91,0,0,0,0,0,28.22,1.41,72.32,1.5
 96-106,0,0,0,1.62,8.45,16.31,0,1.1,141.07,1.8,0,44.5,121.29,0,0,3.23,0,34.03,0,3.23,0,91.29,0,0.88,0,0,15.05,1.47,0,0,1.63,0,20.45,0,62.56,2.84
108-118,0,0,0,0,4.67,6.65,0,10.2,163.72,2.17,0,17.05,192.94,0,0,1.55,0,29.53,0.77,1.85,3.63,94.94,0,0.55,2.39,0,9.69,1,0,0,2,0,1.62,1.88,47.55,0.68
120,2.82,0,0,4.39,10.64,15,0,0,235.52,0,0,35.23,370.61,0,2.22,9.55,0,63.08,0,0,0,90.86,0,0,2.04,0,25.07,4.79,0,0,1.58,0,67.09,0,89.78,0
