stage,blastomeres,endoderm,erythrocytes,eye,neural,paraxial_mesoderm
  5-6,82.1,0,0,0,10.93,0
  7-9,0,4.8,0,13.29,19.92,3.82
 10-12,0,0,15.91,0,9.75,6.61
