stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,16.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0
  7-9,0,0,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,11.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05,0,0,0,0,0,0,4.95,0,0,0,0,0
 24-34,0,0,0,0,0,0,4.24,0,0,0.63,0,0,0,0,0,1.05,0,0,89.2,0,0,0,0,0,0,21.35,0,0,0,0,0
 36-46,0,0,0,0,0,0,11.29,0,0,0,0,0,0,3.76,0,2.8,0,0,341.69,0,2.49,0,0,0,0,50.43,0,0,1.33,0,0
 48-58,0,0,0.68,0,3.98,0,100.42,0,0,2.84,0,0,0,0,0,4.14,0,0,569.6,0,0.89,1.57,0,0,0,69.34,0,0,0,0,0
 60-70,0,0,0,0,1.05,0,581.86,0.96,0,11.89,0,0,0.63,0,0,5.01,0,0,810.74,0,3.46,1.84,0,9.48,3.48,81.72,0,0.71,0,0,9.62
 72-82,0,0,0,0,4.41,1.15,1133.5,0,0.61,30.68,1.12,0,0,0.63,1.54,16.7,1.19,0.71,837.74,0,0,0.54,0,1.53,1.58,29.23,1.33,0,0.9,0.76,0
 84-94,0,0,0.66,0,3.43,1.35,805.09,2.85,0,80.85,0,0.62,0,0,0,12.9,3.37,0.91,531.46,0,2.35,0.89,0,0.71,0,22.93,0,0,0.55,0,0
 96-106,0,0,0,0,0.77,0,1164.18,0,0,61.01,0,0.63,0,7.3,0,7.58,0,1.12,448.44,0.62,4.98,0,0,0.83,0.7,19.18,0,1.65,0,0,1.75
108-118,0,0,0,0,8.14,0,870.26,0,0,27.68,0,0,0,0,0,5.5,0,0,558.1,0,2.68,0.78,0,0,0,25.63,2.64,0,5.96,0,0
120,0,0,0,0,7.05,1.36,624.15,0,0,22.14,0,3.53,0,0,0,15.49,0,2.38,857.68,0,6.18,4.02,0,0,0,11.75,0,0,0,0,0
