stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,hatching.gland,immune,iridophores,liver,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,xanthophores
  3-4,0,285.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.49,422.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.2,0,4.21,0,20.71,0,0,0,22.02,0,0,0,0,216.29,52.4,0,38.83,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,28.58,10.75,0,0,0,0,0,0,0
 14-21,0,0,0,1.68,0,0,0,0,0,0,0,0,0,0.93,0,1.8,0,0,1.04,0,0,0
 24-34,0,0,0,0,0,0,0,0.96,0,0,0,0,0,2.6,0,1.35,0,0,0,3.46,0,0
 36-46,0,0,0,0,0,5.03,0,0,0,0,0,0,0,6.28,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.42,0,0,0,0,0,0,0,1.06,9.5,0,0,0,0,0,0.45,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0,1.85,0,0
 72-82,0,0,0,1.44,0,0,0,0.53,0,0,0,1.79,0,20.67,0,0,0,1.2,0,2.07,0.74,0
 84-94,0,0,0,0,0,0,0,3.34,0,1.41,0,0,0,10.66,0,0,0,1.01,0,2.36,21.02,0
 96-106,0,0,0,0,1.41,0,0.63,4.94,0,0,0.77,0,0,26.45,0,0,0,0,0,0,43.24,0
108-118,0,0,0,8.22,0.54,0,0,4.56,0,0,1.08,0,0,38.74,0,0,0,2.1,0,0,51.46,0.92
120,0,0,0,10.8,0,0,0,27.86,0,0,0,0,0,47.82,0,0,0,0,0,3.5,31.62,0
