stage,endocrine_pancreas,endoderm,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,neural,olfactory,periderm,pronephros,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
 14-21,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0,0,0
 24-34,0,0.7,0,0,0,0,0.84,0,0,0,4.17,0,0,0,10.55,0,0,0,0.94,0,0,0
 36-46,0,0,0,0,1.08,0,0.67,0,0,0,16.74,0,0,0,5.27,0,0,0,1.42,0,0,0
 48-58,0,0,0,0,2.61,0,0,0,0,0,18.54,0,0.45,0,19.05,0,0,7.59,2.88,0,0,0.83
 60-70,0,0,0,0,2.31,0,0,0,0,0,15.6,0,0,0,2.53,0,0,0,0,0,0,0
 72-82,0,0,0,1.9,16.08,1.21,0,0,0,0.93,30.35,0,3.07,0,10.91,0,0,0,0,0,0,8.35
 84-94,0,0,0,11.41,1.7,0,1.25,0,0,0,124.27,0,3.37,0,40.36,0,0.57,0,0,0,0,0.59
 96-106,1.28,0,1.46,8.58,12.55,0,1.53,0.87,0,0,121.51,0,2.9,0.7,26.51,1.9,1.47,0,0,1.96,0.72,0
108-118,0.93,0,0.59,42.46,19.12,6.03,1.95,1.17,0.47,0,248.7,1.73,3.47,0,28.81,0,0,0,0,0,0,0
120,0,0,0,1.61,0,1.43,0,0,0,0,147.48,0,0,4.76,5.72,0,0,0,3.82,0,0,0
