stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,20.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.78,0,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.71,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.83,0,0,0,0,0,0,0,0,0,0,0,97.91,5.72,0,0,41.48,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,20.68,44.42,0,2.15,0,0,0,2.35,0,0,0,0,3.42,0,0,0,0,3.63,0,0,19.66,172.29,3.39,3.18,0.8,0,0,0,1.23,9.03,0,106.32,1066.92,78.96,0,0,22.57,0,0
 24-34,0,0,0,7.37,29.35,0,10.9,6.82,0.71,0,0,0,0,11.83,0,17.48,0,9.87,0,0,6.59,1.09,0,38.98,1003.16,0,30.91,11.24,0,0,12.05,0,1.19,0,31.66,406.08,266.49,0,0,216.8,0,0
 36-46,0,0,0.98,1.27,1.24,0,49.53,18.56,0,0.82,3.37,0,0,2.18,0,6.65,0,2.21,0,0,3.57,0,0,18.86,1908.51,0,20.96,13.85,7.09,0,14.4,0,0,0,35.87,9.66,408.26,0,0,97.77,0,0
 48-58,0,0,0,3.16,4.84,0,254.77,13.94,0,0.63,32.84,0,0.37,7.18,0,0.6,6.72,5.34,6.39,13.5,22,0,0,9.76,2452.03,0,11.8,16.26,0,0,1.49,0,0,0,12.71,0,384.59,0,0,96.41,0,5.56
 60-70,0,0,0.91,2.44,16.67,0,806.27,15.62,3.01,0.89,19.82,0,0,5.16,3.04,0,0,5.17,0,0,19.84,0,6.11,18.99,3123.68,0,13.96,32.96,0,0,7.28,0,0,0,15.37,0,435.18,0,0,82.14,0,0
 72-82,0,0,2.09,7.47,88.69,0,941.45,9.56,4.8,6.28,26.98,3.43,0,13.96,0.67,3.11,0,6.89,0,0,19.8,0,0,2.75,3704.29,0,11.35,41.54,0,0,1.45,0,0,0,4.58,0,348.09,0.8,0.93,138.12,2.93,10.98
 84-94,0,0,0,15.08,91.8,0,740.57,14.25,0,1.55,19.23,0,0,6.93,2.46,4.45,3.5,11.94,0,6.97,32.61,0,14.54,13.53,2474.79,0,10.43,76.02,0,0,2.78,0,0,1.4,12.25,0,179.41,0.9,2.41,144.58,4.66,0
 96-106,0,0,0,13.61,128.78,1.93,641.75,7.89,0,0,43.08,1.01,0,10.22,6.08,10.23,0.75,14.84,1.54,0,43.14,0,2.93,11.19,2023.56,0,9.45,62.11,0,0,5.67,0,0,0,5.17,0,61.59,2.03,2.8,161.4,5.12,0
108-118,0,0,1.41,23.61,87.74,0,592.61,7.03,1.08,0,28.11,0,0,2.93,4.91,6.68,0.51,14.28,0.89,1.54,23.94,0,2.9,12.48,2112.11,0,7.71,47.12,0,2.73,0.82,0,0,0,17.98,0,74.67,0.44,3.19,127.08,5.04,0
120,2.31,0,0,12.57,112.56,0,537.8,15.83,0,0,75.43,2.42,0,14.37,17.81,5.05,0,36.35,1.58,7.25,26.47,0,41.07,22.44,2720.87,3.31,43.75,93.05,0,0,0,0,0,0,9.31,0,69.53,0,0,173.29,15.03,0
