stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,89.48,1430.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.47,0,0,0,0,0,0,0,0,0
  5-6,59.97,692.81,0,0,0,0,0,0,0,0,0,0,43.05,0,0,0,0,0,0,0,0,0,0,0,83.21,0,0,0,12.44,0,42.59,0,0,0,0,0,0,0,0,0
  7-9,155.28,3.89,0,17.26,0,0,24.22,0,0,0,0,0,28.48,0,0,0,0,0,0,0,0,0,0,0,158.15,209.57,0,0,48.37,0,0,5.11,0,0,0,0,0,0,0,0
 10-12,7.59,0,0,31.2,0,0,25.97,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,126.88,620.43,0,0,73.08,0,0,5.47,0,28.79,0,0,0,0,0,0
 14-21,0,0,0,0,17.86,2718.35,3.17,0,0,0,0,4.12,2.61,7.24,0,0,0,0,0,0,5.76,0,0,3.58,63.38,1897.05,0,0,2.68,0,3.81,0,5.26,2.55,0,1.67,21.08,0,2.4,0
 24-34,0,0,0,5.45,5.92,1795.4,17.01,0,0,0.61,4.08,1.01,0,6.5,0,0,3.85,0,2.2,0,9.63,0,0,3.26,174.35,310.47,0,5.12,0,0,13.12,0,0,4.44,1.16,2.63,28.74,0,5.41,0.78
 36-46,0,0,0,0.56,0,501.97,7.29,0,0,0,3.85,1.22,0,3.35,2.58,0,23.63,0.66,2.63,0,16.11,0,0.57,1.15,90.22,295.02,1.2,9.73,0,0,0.74,0,0,1.54,0,0,17.64,0,7.48,4.64
 48-58,0.77,0,0,0,5.94,525.97,20.77,0,0,0,5.29,1.54,0,2.09,8.06,0,70.09,0.53,2.66,0,7.96,0,0,5.26,90.1,137.72,0.81,9.61,0,0,1.76,0,0,0.44,0,0,16.51,0,13.57,0.85
 60-70,0,0,1.1,0,0,368.1,39.93,0.89,0,0,12.88,17.24,0,0,0,4.27,73.91,3.59,4.28,0,29.54,0,0,0,84.53,45.01,0,1.95,0,0,2.25,0,0,0,0,0,7.52,0,4.16,0
 72-82,0,0,0,1.12,3.06,668.37,8.58,0.82,0,0,15.74,11.28,0,2.91,0,0,78.45,0.6,1.61,0,28.62,0,0,4.81,93.07,26.59,0,6.27,0,0,1.22,0,0,0,0,0,4.68,0.5,12.06,0
 84-94,0.62,0,0.6,0,0,700.48,3.48,0.79,0,0.65,13.32,15.9,0,0,0,0,99.52,0.66,0,0,8.74,0,0,1.89,43.48,40.21,0,3.34,0,0,3.23,0,0,1.99,0,0,4.23,0,6.16,0
 96-106,0,0,0,0.72,4.32,1070.77,26.46,1.43,0.74,1.44,23.35,16.63,0,1.15,6.79,0,101.04,8.27,23.56,3.42,59.02,0.68,0,7.18,104.17,25.14,2.88,14.25,0,0,9.35,0,0,1.44,0,0,2.51,0,12.93,0
108-118,0,0,2.73,1.23,1.73,896.51,17.24,5.31,0.77,1.58,12.06,18.21,0,0.58,1.47,0.64,209.9,2.51,6.78,0.83,25.46,11.04,0,1.53,88.41,12.53,0.59,6.83,0,7.73,4.33,0,0,4.94,0,0,4.54,9.39,7.26,0
120,0,0,0,0,10.97,956.38,35.69,0,0,0,46.35,27.23,0,0,3.54,0,165.04,0,0,0,19.72,0,0,0,77.96,17.3,0,14.18,0,0,4.79,0,0,0,0,0,12.44,0,7.44,0
