stage,blastomeres,endoderm,epidermis,eye,glial,gut,immune,ionocyte,mesenchyme,mural_cell,neural,paraxial_mesoderm,periderm
  3-4,35.35,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.46,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.85,3.95,3.51
 10-12,0,0,0,4.05,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.01
 36-46,0,0,0,1.44,0,0,0,0,0,0,1.32,0,0
 48-58,0,0,0,0,0,0,2.19,0,0,0,0,0,0.56
 60-70,0,0,0,5.11,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.36,0,0.59,0,0
 84-94,0,0,0.62,2.71,0,0,0,0.69,0,0,0,0,0
 96-106,0,0,0.66,0,1.81,3.1,6.73,0,2.76,0.93,0,0,0
108-118,0,0.5,0.5,6.69,0,1.26,0,0,0,0,0,0,0
120,0,0,0,0,0,1,0,2.5,0,0,2.48,0,0
