stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,37.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,15.94,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.01,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,0,0,0,0,0,0,2.6,0,0,0
 36-46,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0.66,37.49,0,0,0,0,0,0,2.32,0,0,0
 48-58,0,0,62.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.38,35.05,0,1.21,0,0,0,0,3.09,0,0,0
 60-70,0,0,178.98,0,0,3.13,1.57,0,0,0,0,0,0,0,0,0,0.96,0,9.5,0,0,0,0,0,0,0.94,18.09,0,5.74
 72-82,0,0,1189.4,0,0,7.28,0,0,0,0,0,1.17,0,0,0,6.53,16.71,0,198.14,0,0,0,0,122.33,0,5.29,49.78,1.08,0
 84-94,0,489.83,1714.4,0,0,0,0,0,3.89,15.39,0,0,0,0.62,0,0,1.86,0,51.83,0,0,0,0,0,0,0,278.85,0,0
 96-106,0,4.86,1124.65,0,1,4.15,0,117.24,0,0,21.17,0,16.77,0,6.74,0,5.43,0,25.66,0,0,0,0,373.83,0,0,26.87,0,0
108-118,0,0,896.98,2.82,0,146.16,0,7.98,0,10.8,12.63,0,0.72,0,0.81,0,0,0,39.29,0,0,1.49,2.38,0,93.44,0,10.31,0,0
120,0,0,670.02,0,0,77.48,2.94,19.12,0,3.88,79.96,1.43,0,0,6.76,0,5.4,0,913.72,1.45,108.12,0,0,0,0,0,4.48,0,0
