stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,11.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.18,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.73,0,0,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.05,0,0,0,0,0,0,0,3.59,0,0,0,0,0,0,0,16.4,0,0,14.5,0,0,0,0,0
 14-21,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,5.23,3.47,0,0,0,5.25,0,0,0
 24-34,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.81,1.33,0,0,0,0.79,0,0,0
 36-46,0,0,0,0,0,0,21.86,0,0,0,0,0,0,0,0,0,0,0,0,97.74,9.48,0,0,0,17.08,0,0,0
 48-58,0,0,0,0,4.08,0,117.26,0,0,0.8,0,0,0,0,0,0,0,0,0,123.33,5.8,0,0,0,19.43,0,0,3.82
 60-70,0,0,0,0,0,0,319.74,2.17,0,2.06,0,0,3.2,0,0,0,0,0,0,181.47,2.32,0,0,0,26.78,0,2.29,0
 72-82,0,0,0.54,0,1.81,0.87,308.09,0,0,5.35,0,0,0,0,2.73,0.49,3.67,0,0.76,209.97,14.66,0.71,0,0,41.07,0,0,0
 84-94,0,0,0,0,0.59,0,339.01,0,0,8.66,0.6,0,0,0,0,0,6.52,0,0,248.86,0.85,0,0,0,18.12,0,0,0
 96-106,0,0,0,0,0.93,0,161.52,0,0,1.01,0,0,0,0,9.42,0,2.64,0,0,216.75,12.64,0,0,0,17.01,0,0,3.88
108-118,0,0,0,0,3.1,0,164.4,0,0.46,6.67,0.43,0,0,0,0,0,0.6,0,1.88,226.23,5.03,0,0,2.63,36.9,3.03,0,1.25
120,0,0,0,0,5.65,0,229.64,0,0,0,0,0,0,3.58,0,0,1.63,16.08,0,315.29,23.09,0,0,0,52.68,0,0,0
