stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.8,4.1,68.05,15.73,0,48.82,0,0,0,9.35,4.39,0,0,5.32,0,1.14,0,0,36.36,0,0,17.68,415.49,13.22,0,1.81,6.93,0,5.86,58.63,1.01,0,58.32,87.12,0,0,2.06,0,1.03
 24-34,0,0,12.18,1.43,0,46.68,0,0,0,12.26,4.04,0,0,13.79,1.56,0.64,0,1.86,36.14,0,0.69,16.09,419.61,0,4.31,5.92,0,0,1.43,0,0,0,12.78,88.99,0,0,18.18,0,2
 36-46,0,0,24.02,0,0,75.27,0,5.62,0.57,16.26,1.89,0,0,10.87,0,0.7,0,0.61,51.81,0.56,0,12.2,308.86,0,1.02,2.06,0,0.77,13.52,0,0,0,0,77.02,0,0.85,2.32,0,9.9
 48-58,0,0,0.8,11.72,0,83.55,4.12,1.35,2.03,27.49,0.51,0.44,0.52,0,0,1.51,0,0.89,53.31,0.46,1.33,10.07,120.4,1.8,0,2.65,0,0,10.66,0,0.53,0,0,33.75,0,0,3.56,0,0.51
 60-70,0,0,8.57,11.97,0,77.82,0,0.61,4.49,64.35,2.41,0,3.59,0.64,0.63,1.2,4.62,0,81.13,0,3.38,15.64,102.98,1.36,2.27,3.42,0,0.71,6.21,0,0,0,0,21.21,0,1.29,9.05,0,0
 72-82,0,0,7.77,2.47,0,27.33,0.59,0,1.31,18.88,2.21,0,1.21,1.36,2.27,0.56,0,0,48.5,0.52,0,6.32,28.99,0,2.16,5.28,0,0,9.82,0,0,0,0,3.58,0,0,3.1,1.64,0
 84-94,1.04,0,3.68,8.04,0,23.12,0,1.31,0,27.65,1.86,0,13.4,3.81,1.03,6.36,1.64,0,28.79,0,0,3.82,24.72,0,2.05,8.68,0,1.53,14.38,0,0,0,0,2.27,0,1.03,3.1,0,0.66
 96-106,2.19,0,16.88,27.07,0,48.96,0,0.63,5.13,38.97,2.85,0,5.2,0.66,0.76,7.67,1.25,0,75.37,0,1.59,16.4,56.53,0.58,1.85,4.4,0,3.23,18.29,0,0.62,0,0,8.02,0.99,2.43,5.83,2.34,3.28
108-118,0,0,17.94,9.88,0.43,34.86,1.32,0,2.57,29.06,2.05,1.12,3.96,0.51,2.46,2.55,0,7.7,55.16,0.58,2.22,12.22,69.61,0.48,10.54,2.44,0,6.56,24.34,0,0,0.63,0,5.56,0.52,0,3.46,4.64,2.76
120,0,0,20.19,4.06,0,26.73,0,2.16,0,29.35,5.62,4.06,7.47,0,0,3.58,1.84,0,68.24,0,0,12.41,68.28,0,0,2.8,0,0,6.38,0,0,0,0,2.14,0,1.95,0,0,9.07
