stage,eye,immune,mesenchyme,neural,periderm,vasculature
 14-21,0,2.21,0,0,0,0
 24-34,0,26.88,0,0,1.31,0
 36-46,0,15.37,0,0,0,0
 48-58,0,40.56,0,1.95,0,0
 60-70,0,85.04,0,0,0,0
 72-82,0.71,41.55,0,0,0,0
 84-94,0,57.54,0.84,0.88,0,0
 96-106,0,85.03,0,0,0,0.88
108-118,0,33.38,1.96,0,0,0
120,0,48.4,0,0,0,0
