stage,endocrine.pancreas,endoderm,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,pronephros,spinal.cord,taste
 10-12,0,9.02,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0
 14-21,0,0,2.02,0,0,0,0,0,0,0,0,4.39,0,0,0,0.85,8.58,0
 24-34,0,0,0,0,0,3.05,0,0,0,0,0.78,2.79,0,0,0,1.28,5.86,0
 36-46,0,0,0,0,5.13,0,0,0,0,0,0.59,24.45,0.91,0,0,3.95,9.39,0
 48-58,0,0,0,0,0,6.38,0,0,0,0,0,4.71,4.05,0,0,0,18.11,0
 60-70,0,0,0,0,0,10.24,0,0,0,0,0,0.97,1.4,0,0,0,4.22,1.22
 72-82,0,0,0,0,0,6.49,0,0,0,0.82,0,2.45,2.68,0.79,0,0,0.85,0
 84-94,0,0,0,0,0,0,0,0,0.6,0,6.88,2.75,1.59,0,0,1.45,1.15,0
 96-106,0,0,0,5.88,0,0,2.4,1.18,0.95,0,1.59,0,6.21,0,0,0,3.34,0
108-118,0.98,0,0,8.76,0.43,1.77,0.66,0,0.46,0.61,0,4.84,4.63,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,10.98,20.74,17.48,0,0,0,0
