stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,11.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,35.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.25,0,0,0,0,0,0,0,0,38.06,3.59,0,0,10.9,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.94,0,0,0,0,0,41.05,0,0,0,4.59,0,0,0,0,0,0
 14-21,0,0,0,1.33,0,0,1.24,0,1.41,0.85,0,0,18.29,0,0,0.81,0,0,1.11,0,0,4.74,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.94,14.61,0,0,0,0,0,0,0,0.65,12.42,0.77
 36-46,0,0,0,0,0,0,0.86,0,1.08,0,0,0,33.53,0,0,0,0,0,0,0,0,13.03,0
 48-58,0,0,0,0,0,0,1.87,0.5,0.62,0,0,0,41.81,0,0,0,0,0,0,0,0,9.71,0
 60-70,0,0,0,0,0,0,16.35,0,6.3,0,8.03,0,105.63,0,0.67,0.69,0,0,0,0,0,31.27,0
 72-82,0,0,0,0,0,0,31.42,0,4.52,0,0,0,86.97,0,0,0,0,0,0,4.52,0,10.37,0
 84-94,0,0,0,0,0,0,18.15,0,1.09,0,2.13,0,45.24,0,0,0,0,0,0,0,0,2.36,0
 96-106,0,0,1.53,0,0,0,29.82,0,1.98,0,0,0,59.04,0,0,0,0,1.84,0,0,0,5.48,0
108-118,0,0,0,0,0.76,9.56,16.12,0,6.63,0,0,0,76.04,0,0,0,0,1.07,0,0,0,6.71,0
120,0,0,0,0,1.7,0,21.9,0,0,0,2.16,0,108.59,0,0,0,0,0,0,0,0,11.35,0
