stage,epidermis,erythrocytes,eye,fin_epithelia,gut,immune,liver,mesenchyme,muscle,neural,otic,presomitic_mesoderm,somites,vasculature
  7-9,0,0,0,0,0,0,0,0,0,14.49,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.87,0,0,0.86,2.57,0
 24-34,0.6,0.9,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,2.57,0,0,0,0.82,0,0,0,11.16
 48-58,0,0,0,0,0,0.5,4.01,0,0,0,0,0,0,0.68
 60-70,0,0,0,0,0,3.12,0,0,0,1.56,0,0,0,0
 72-82,0,0,0,0,0,2.36,0,0,0,4.55,0,0,0,0
 84-94,0,0,0,0,0.66,4.71,0,0,0,0,0,0,0,3
 96-106,1.07,0,0,0,0,5.35,0,0,0,0,0,0,0,4.4
108-118,0,0,0.55,0,0,12.31,0,1.47,0,0,0,0,0,1.24
120,0,0,0,1.74,0,24.16,0,0,0,0,1.86,0,0,3.28
