stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.57,494.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.17,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.57,277.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,21.15,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,22.96,0,10.22,0,0,43.87,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,414.61,5.81,0,0,161.19,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.66,0,14.47,0,0,30.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.45,0,0,0,189.46,0,0,8.5,4.76,27.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13.55,5.37,8.86,0,0,0,5.78,0.85,0,0,0,0.96,0,0,0,0,8.48,0,0,10.69,128.77,7.9,0,0.86,0.84,0,1.12,0,15.71,0,0,19.17,27.67,0,0,0.81,0,0
 24-34,0,0,0,0,11.25,1.78,35.38,0,1.82,0,4.5,0.89,0,0.9,0.65,2.45,2.07,0,1.66,2.96,30.84,0,0,5.34,283.94,2.73,1.71,0.9,0,0,2.7,0,0,0.63,0.95,6.94,67.58,0,0,7.83,0,1.63
 36-46,0,0,0,0,3.6,0,45.09,0,0,0.63,11.74,0.74,0,1.28,0,0,5.54,0.6,0,2.16,38.11,0,0.63,8.67,276.77,12.11,2.78,1.14,0,0,9.28,0,0,3.67,0,0,67.43,0,0,1.94,0,0
 48-58,0,0,0,0,13.96,1.51,78.11,0,0,0.44,19.59,2.39,0,0.59,0.48,0.46,0,0,3.6,1.01,46.12,0.65,2.13,14.32,161.32,1.08,1.15,0.67,0,0,4.4,0,0,0.74,0.95,0,34.93,0,0,3.75,0,5.91
 60-70,0,0,0,0,10.06,0,107.52,2.41,4.76,0.76,29.31,0,0,3.33,2.98,0,0,1.72,1.92,0,32.98,0,1.52,10.65,114.11,0.96,1.9,2.91,0,0,4.38,0,0,0,0,0,25.27,0,0,4.08,0,4.85
 72-82,0,0,1.61,0,10.06,1.16,131.4,0.55,1.86,3.09,35.91,4.09,0,0.79,3,0,0,1.84,1.52,0,79.06,0.77,3.61,6.7,154.6,0,1.65,2.53,0,0,8.48,0,0,0.76,1.5,0,12.02,0.88,5.71,5.61,0.71,9.23
 84-94,0,0,0,0,11.56,0,90.78,4.89,1.5,2.54,8.65,2.25,1.95,0.97,10.06,3.42,5.33,0.61,5.67,0,51.32,0,6.48,4.22,70.64,0,5.48,7.04,0,5.29,14.88,0,0,0,0.62,0,3.49,0,1.48,3.56,3.33,9.21
 96-106,0,0,1.19,0,13.1,0.96,74.6,0.68,2.73,1.89,31.3,2.48,0,0,4.29,4.8,4.31,2.2,0.59,1.03,60.85,0,2.95,6.13,95.75,0,3.43,6.11,0,2.14,19.33,0,0,1.44,0.71,0,2.11,4.27,0,12.97,2.53,0
108-118,0,0,0,0,15.71,5.03,78.08,0.86,2.52,2.72,15.83,8.11,0,1.49,6.22,2.21,10.36,4.12,3.19,3.18,74.91,3.32,5.34,7.16,162.89,1.85,4.29,11.05,0,1.49,12.54,0,0,0,0.51,0,6.88,0.42,4.01,9.16,1.52,10.14
120,0,0,11.31,0,30.52,13.76,35.22,2.39,3.97,0,50.94,8.86,0,0,10,0,0,4.51,0,0,99.89,0,7.65,8.69,151.61,0,0,1.52,0,9.21,16.99,0,0,1.75,1.69,0,0,0,0,8.22,2.64,0
