stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,22.76,91.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.96,43.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,8.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,23.71,0,0,0,0,0,2.41,14.77,0,0,0,0
 24-34,0,0,0.61,0.67,1.78,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,144.26,0,3.56,0,0.87,0.65,0,40.06,0,0,1.06,0
 36-46,0,0,0,0.63,36.2,4.77,0,0,0,0,0,0,2.49,0,0,0,8.6,0.89,1.93,0,0.74,487.22,0,8.44,0,0,0,0,96.05,0,0,1.38,0
 48-58,0,0,0.46,2.13,48.67,0,0,7.49,0,2.34,0,0,0.38,0,0,0,4.56,2.34,0.95,0,0,570.09,0,2.99,0.37,0,0.73,0,78.59,0,0,0,4.07
 60-70,0,0,0,2.31,301.7,0,0,5.82,1.25,1.55,0,6.48,0,0,0,7.45,2.9,10.78,4.29,0,0,922.63,0,7.07,0,0,0,0,113.58,0,0,0,1.39
 72-82,0,0,3.09,3.89,500.32,2.38,0.82,15.98,3.92,1.51,0.66,1.21,0,0,1.19,0,2.33,18.91,4.11,0,0,588.49,0,2.07,0,0,0.55,0,42.98,0,0,2.69,7.83
 84-94,0,0,7.75,2.77,372.79,0,0,26.22,10.93,2.11,0,0.56,0,0,1.71,0,10.71,12.11,4.3,0.63,0,436.15,0,6.4,1.81,2.73,1.46,0,22.99,4.42,0,0,0
 96-106,0,0,4.32,5.66,627.91,0,0,5.09,8.51,0,1.61,1.86,0,0.72,0,0,8.8,8.78,15.18,6.17,0,394.95,0.79,3.31,0.77,1.6,0,0,15.86,1.89,1.15,0,0
108-118,0,0,2.8,3.88,452.41,0,0,10.85,13.56,0,0,0,0.64,1.05,0,0,1.73,8.04,12.82,0,0.5,468.85,0,2.91,0,8.3,0,0,9.07,10.28,0,4.23,0
120,0,0,13.87,9.6,274.09,2.41,0,14.68,26.17,0,0,7.72,0,0,0,0,4.02,3.89,6.27,0,3,627.7,0,8.44,0,0,0,0,16.6,0,0,0,0
