stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature
 14-21,0,0,0,0,0,0,0,0,0.86,0,0,0,1.88,0,0,6.1,0,0,0,0,2.64,0,3.64,0,0
 24-34,0,1.73,0,0,1.02,0,0,0,0.62,0,0,0,0,0,0,5.62,0,0.67,0,0,0,0.61,4.05,0,0
 36-46,0,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,7.73,0,0,0,0,0
 48-58,0,0,0,3.14,0,0,0,0,0,0,0,0,0,0,0,19.74,0,2.18,1.77,0,0,0,0,0,0
 60-70,0,1.16,0,1.01,0,0,0,1.26,0,0,0,0,0,0,0,4.6,0,0.96,0,0.94,0,0,0,0,0
 72-82,0,0,0,3.53,0,2.68,1.13,0,1.31,6.38,3.3,0,2.01,1.32,0,21.51,0,1.19,0,0.52,0,0,7.6,0,0
 84-94,0,0,0,8.15,0,3.49,2.73,0,0,0.73,0,0,1.97,0,0,2.11,0,1.31,0,0.69,0,0,0,0,0
 96-106,1.57,0.74,1.95,0,0,0,0.69,0,0,3.73,3.91,0,0.8,0,1.31,12.45,0,1.9,0,0.81,0,0,0,0,0
108-118,0,2.05,0,1.85,0,1.81,5.74,0,1.51,10.37,0,3.06,3.23,0,0,9.08,0,0.6,0,0.85,0,0,1.66,0,0
120,0,12.6,0,0,0,0,3.65,0,0,8.34,6.8,0,9.53,0,0,22.2,6.74,0,9.75,3.84,0,0,7.32,3.81,11.17
