stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,10.6,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,5.84,0,0,3.37,24.31,0,0,0,3.9,1.44,0,0,5.47,9.55,0,0,0,0
 24-34,0,5.18,0,0,4.79,1.75,0,4.57,2.3,0,0,0,0.77,0,0.7,0,0,0,1.09,0,2.4,117.43,0.64,2.24,0,13.64,0,0.72,0,1.39,21.9,0,0,0,0.93
 36-46,0,4.05,1.41,0,5.52,11.38,0,2.68,0,0,0,0,3.82,0,0,0,0,5.73,0,0,1.3,89.22,0,2.33,0,24.24,0,0,0,0,16.15,0,1.68,0,0
 48-58,0,12.18,0,0,20.59,1.9,0.5,5.08,0,0,0.42,0,0,0,0.51,0,0.39,9.61,0,0,0.88,93.73,0,1.53,0,16.98,0,0,0,0,25.52,0,1.88,0,0
 60-70,0.89,18.46,0,0,34.9,7.12,0,1.79,4.35,0,0.58,0,0.58,0.67,0,0,0,15.78,0,6.97,2.1,100.39,0,4.77,0,20.15,0,0,0,0,14.61,0,5.39,0,0
 72-82,1.91,12.34,2.39,0,52.75,1.6,1.07,17.2,7.25,0.52,0,6.98,1.19,2.95,0,1.17,0,16.03,0,6.32,1.68,115.35,4.05,5.15,2.83,15.42,0,0,0,0,12.58,0,1.91,0,3.79
 84-94,2.22,9.7,0.78,0.59,46,5.66,0,1.41,0.66,1.95,0,1.48,2.77,0,0.63,0,0,7.95,0.71,0,0.86,73.44,0,1.31,1.2,32.88,0,1.56,0,0,2.85,0,0,0.68,0
 96-106,0,11.34,1.54,0,13.49,4.14,0,14.05,1.33,0,0,0,1.5,0,0,0,0,13.89,0,1.95,0,49.31,0,0,2.32,25.38,0,0,0,0,3.8,0,0,1.56,0
108-118,3.29,7.69,0,2.51,13.82,10.16,0,11.84,1.2,0,0,6.62,5.12,2.21,0,1.36,0.44,10.59,0,0,1.35,79.44,0.77,1.63,0.72,20.09,0,1.58,0.44,0,4.81,1.92,2.53,0,0
120,0,27.72,0,0,0,9.72,0,6.84,3.36,0,0,0,2.19,0,0,0,0,13.43,0,0,2.74,72.23,0,2.28,1.47,11.95,0,0,0,0,0,0,2.17,1.8,0
