stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,360.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.42,0,0,0,0,0,0,0,0,0,0
  5-6,11.15,151.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.92,0,0,0,14.58,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.23,0,0,0,4.29,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,36.16,43.45,0,0,55.78,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.14,15.44,0.93,0,6.77,0,0,0,0,0,0,1.3,0,0,0,0,0,0,3.02,0,0,11.98,47.57,15.73,0,0,1.12,0,1.11,12.9,0,3.85,15.51,12.61,0,0,0,0,0
 24-34,0,0,0,7.06,4.11,0,9.14,0,1.44,1.54,0,1.02,0,2.82,0,2.86,0,1.07,0,0,39.23,0,0,20.7,48.53,34.36,0.79,1.92,0,0,16.37,0,1.45,3.06,4.92,9.91,0,0,1.95,0,0
 36-46,0,0,0,10.65,20.73,0,4.24,11.98,0.58,0.87,2.05,0,0,0,0,0,0,1.61,0,0,81.48,0,0,9.23,34.23,78.61,1.03,2.83,0,0,1,0,0,15.75,0,5.89,0,0,0,0,0
 48-58,0.77,0,0,12.45,18.36,0,12.94,2.12,2.83,5.82,1.64,0,0,0,0,0,0,0.39,0,0,94.49,0,0,16.37,74.34,70.67,0.77,7.77,0,0,10,0,0,1.19,0,10.5,0,0,2.34,0,2.31
 60-70,0,0,0,9.28,12.48,0,15.33,5.73,8.01,0.88,6.95,1.06,0,0,0,0,2.4,0.77,0,0,208.92,0,1.97,9.22,47.61,83.98,0,8.59,0,0,0,0,0,3.31,0,25.01,0,1.59,0.68,0,0
 72-82,0,0,0,3.44,216.69,0,36.58,13.13,5.62,8.02,20.43,0,0,1.12,1.11,0.66,0,0.88,3.29,0,271.17,0,3.01,13,55.67,33.92,0,17.82,0,0,1.31,0,0,3,0,3.98,0.87,3.21,5.48,0,0
 84-94,0,0,0,14.14,226.22,0,51.5,1.68,8.62,1.81,27.73,0.68,2.11,3.69,0,0.91,1.27,0.92,0,2.28,263.3,0,1.44,11.63,44,61.02,0,15.58,0,0,3.01,0,0,2.9,0,3.82,0,8.04,0.91,4.18,0
 96-106,0,0,0,7.92,423.69,0,42.56,2.27,0.89,1.02,46.48,2,0,4.15,0,0,1.41,0.66,8.43,0,250.37,0,8.18,9.71,32.89,23.42,3.87,15.18,0,1.03,21.21,0,2.87,6.29,0,0,0,2.95,4.86,4.28,0
108-118,0,0,0,33.98,124.01,2.78,75.65,19.15,12.77,7.81,47.69,6.02,0,0,0,8.65,9.6,3.33,0,1.72,385.94,1.15,11.71,15.49,62.64,51.62,1.03,23.28,0,3.19,10.24,0,0,11.69,0,6.13,1.01,1.3,8.31,0,0
120,0,0,0,30.8,152.7,2.19,52.5,6.87,19.6,5.18,141.91,2.48,0,7.91,0,10.79,2.6,5.46,0,0,550.58,0,0,33.2,80.62,114.27,3.86,26.3,0,19.53,14.44,0,0,5.27,0,3.3,0,7.08,19.35,14,0
