stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.03,0,0,0,12.81,0,0,0,0,0,0,0,0
 10-12,0,4.27,0,0,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.38,12.73,0,0,36.18,0,0,7.27,0,0,0,0,0
 14-21,0,0.94,0.99,0.97,3.21,1.07,0,0.87,0.85,0,0,0,0,0,0,0,4.69,0,0,0.91,166.24,1.93,0,8.03,2.4,0,1.53,27.56,0,37.08,0,0,0
 24-34,0,0,1.05,0,12.06,0,0,0,0,0,0,0,0,0.85,0,0,3.81,0,0,0.8,327.03,0,0.61,0.76,0,0,0,1.78,0.78,86.16,0,0,0
 36-46,0,0,7.75,0,6.02,0,0,4.89,0,0,0,0,0,0,0,0,6.65,0,0,0.67,645.93,0.61,1.06,0.91,0,1.48,0,0,0,185.15,0.94,0,0
 48-58,0,0,5.88,0,31.09,0,3.77,12.84,0,0,0,0,5.36,0,0.48,3.07,5.25,0,0.39,0,999.15,0.46,0,0.49,0,0,0,0,0,229.45,3.84,0,3.43
 60-70,0,0,10.6,0,47.47,0,0,16.97,0,0,3.36,0,0,0,0,0,27.77,0,0,0.81,1428.25,0.57,0,1.09,0,0.68,0,0,0,216.51,0,0,17.71
 72-82,0,0,7.07,0,99.61,0,1.86,15.96,0,0,0.58,0,0,0,0,0,26.99,0,0,0,970.14,0,0,4.53,0,0,0,3.89,0,159.45,0,0,17.39
 84-94,0,0,6.41,0,86.7,5.2,0,12.89,1.94,0,0,0,0,0,0,0,34.18,0,0,0,646.47,0,0,1.72,0,0,0,1.25,0,106.16,0,0.63,6.4
 96-106,0,0,5.6,5.38,51.86,0,1.39,17.78,1.72,0,0,1.23,0,0,0,0,16.81,0,1.1,1.26,361.97,0,0,2.38,0,0,0,0,0,41.35,0,0,0
108-118,0,0,2.34,0,28.07,0,0,4.8,0,3.23,0.75,2.24,0,0,0,0,25.18,0,0,0,684.58,0,0,4.38,0,3.82,0,0.42,0,10.06,0,0,0
120,0,0,0,0,50.87,0,0,26.17,0,0,0,0,0,9.96,0,0,18.77,1.59,0,1.86,668.02,0,0,3.45,0,0,0,4.05,0,19.43,0,0,0
