stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,33.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.83,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.98,0,0,0,0,0,1.62,0,0,0,0,0,0,0,0,22.48,0,0,0,0,0,0,3.6,1.04,0,12.1,0,0
 24-34,0,0,1.28,2.79,0.6,0,0,0.72,0,0,8.26,0,0,1.29,0,0,0,0,162.42,0,0,0,0,0,0,1.42,7.67,0,94.84,0,0
 36-46,0,0,0,0,0,0.89,0,0,0,0,2.41,0,0,0,8.19,0,0,0,193.23,0,0,0,0,0,0,0,7.59,0,62.32,0,0
 48-58,0,0,1.53,0,2.91,0,0,0.8,0,0,2.38,0,0,0.51,18.74,0,0,0,301.83,0,2.01,0,0,0,0,0,7.84,0,55.9,0,0.63
 60-70,0,0,6.77,0,5.93,0,0,1.43,0,0,0,2.38,0,0,74.4,0,7.7,1.33,248.15,0,0,0,5.87,0,0,0,36.18,0.59,71.81,0,0
 72-82,0,0,0.49,0,26.31,2.09,0.89,0.53,0,0,0,0.64,0,0,84.66,2.13,10.91,0,299.08,0,2.57,0,9.35,0,0,0,4.91,1.09,131.22,1.49,0
 84-94,0,7.04,6.07,0,9.03,4.44,0,7.42,0,0,2.05,0.73,0,0,68.01,0,19.07,2.2,186.54,0,0,0,13.66,1.5,0,0,1.65,2.64,114.03,1.27,0
 96-106,0,0,1.76,0,14.99,0,0,0.64,0.63,0,0,0,0,0,133.96,0,15.14,1.41,175.99,0,7.34,0,29.3,0,0,0,8.28,5.64,98.99,1.22,0
108-118,0,1.87,1.02,0,3.04,1.5,0,8.46,0,0,5.43,0,0.49,0,168.59,0,17.22,1.13,193.19,1.07,0.49,0,9.67,1.97,0.88,0,21.5,9.39,104.05,0,0
120,0,0,14.42,0,23.08,0,4.21,0,0,0,1.85,0,0,0,254.81,0,0,0,410.31,0,0,0,5.08,0,0,0,0,2.63,88.5,1.05,0
