stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,516.03,11502.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.32,0,0,0,0,0,0,0,0,0,0,0
  5-6,232.57,2741.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.19,0,0,0,9.32,0,173.73,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.45,4.37,0,24.6,0,0,0,7.08,0,0,0,0,0,61.48,0,0,0,0,0,0,0,0,0,0,215.44,14.86,0,0,46.08,0,289.75,52.87,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.67,0,113.8,0,12.65,0,0,0,0,0,0,0,59.86,0,0,0,0,0,3.73,0,0,0,0,1104.76,0,0,0,21.56,0,140.41,3.78,0,32.35,0,0,0,0,0,0,0,0
 14-21,2.27,0,2.15,11.02,199.48,3.19,0,1.94,0,2.05,0,0,23.68,3.17,0,0,41.24,0,0,0,4.29,3.68,0,4.47,46.12,0,15.43,24.8,2.22,0,421.77,2.07,1.97,3.78,0,1.17,5.3,0,0,0,0,0
 24-34,0,0,0.65,5.88,78.15,0,0,7.09,0,9.35,0,0,8.64,0.67,0,0,142.06,0,17.12,3.85,8.99,42.66,0,12.27,173.02,0,95.55,28.63,0,0.99,1608.53,0,0,3.94,0.76,0,18.32,0,0,12.35,0,0
 36-46,0,0,0,0,32.26,0,0,7.87,1.3,8.64,0,1.58,4.07,1.08,0,0,53.22,0,11.06,2.19,6.84,23.68,0,3.1,227.84,0,35.35,10.22,0,0,1536,0.68,0,3.98,0,0,15.31,0,0,1.03,0,0
 48-58,0,0,0,0,28.11,0,0,11.51,0.66,17.29,0,0.75,1.25,6.48,0,0,19.48,0,15.42,1.43,5.92,19.83,0.47,2.03,118.15,0,35.15,16.76,0,0,1025.52,0,0,4.15,0,0,16.62,0,0,0,0,0.66
 60-70,0,0,5.3,0,77.23,0,0,24.81,0,20.49,0,1.6,12.96,3.61,0,0,24.07,0,19.07,7.26,10.85,23.22,0,0,51.72,0,13.04,13.35,0,0,756.81,0,0,4.57,0,0,6.6,1.32,0,2.92,0,3.54
 72-82,0,0,2.66,0,112.95,2.05,0,41.81,0,26.45,0,3.04,61.63,0,0,0,38.61,0,44.12,5.16,12.05,28.68,0.93,4.22,93.25,0,31,26.8,0,1.4,553.25,0,0,0,0,0,5.99,41.98,0,0,0,0
 84-94,0,0,8.87,0.95,206.4,1.06,0,31.65,0,21.78,0,1.55,74.41,1.29,1.45,2.37,61.37,1.32,34.35,3.24,6.33,22.23,0.89,1.54,95.8,0,52.71,25.18,0,0,1493.97,0,0,7.13,0,0,0,88.62,2.06,0,0,0
 96-106,0,0,5.36,1.55,335.84,13.14,0.66,26.36,2.39,26.01,1.81,9.11,139.64,2.38,0,1.36,85.21,0,77.63,2.02,5.44,48.45,0,1.65,135.9,0,48.38,30.84,0,0,1102.75,3.39,0,2.99,0,0,0,162.18,1.96,0,0,0
108-118,0,0,7.18,1.56,352.16,1.71,0,13.17,0,42.32,0,9.25,173.3,0,0,5.99,77.7,0,40.65,5.66,9.96,38.09,0,0,61.38,0,35.94,31.75,0,0,902.74,0,0,2.04,0,0,0,153.36,0,8,1.15,0
120,0,0,0,0,259.94,0,0,9.71,0,25.76,0,0,103.22,0,0,5.21,53.82,0,66.53,14.82,0,13.9,0,0,45.31,0,23.95,68.46,0,0,539.74,0,0,5.64,0,0,0,72.36,0,0,5.18,1.1
