stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,7.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0
  7-9,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34,0,0,0,0
 10-12,0,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.96,0,0,23.04,6.67,12.63,0,0,0
 14-21,0,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0.88,0,181.02,0,1.76,0,0
 24-34,0,0,0,0,3.08,0,0.7,0,0,1.28,0,0,0.78,0.95,1.51,0,18.94,0,0,0,303.69,0,5.91,0,0.96
 36-46,0,0,5.44,0,2.44,0,0,0,0,0,0,0,0,1.54,12.4,0.73,12.81,1.19,0,0,298.18,0,0.78,5.93,0
 48-58,0,0,0.4,0,1.47,0.37,1.84,0,0,0,0,0,0,1.36,0.41,0,7.65,0,0,0,97.46,0,1.9,0,0
 60-70,0,0,0,0,9.52,2.01,0,0,0,0,0,0,4.02,0.59,0,0,5.1,0,0,0,170.45,0,0,0,0
 72-82,0,0,5.36,0,8.54,0.68,1.27,0,1.85,0,0,0,0,0,0,0,3.1,0,0,0,117.79,0,0,0,0
 84-94,0,0,0.82,0,7.34,3.72,0,0,1.49,0.67,0,0,0,0,2.73,0,0,0,0,0,208.36,0,0,0.6,0
 96-106,0,0,22.2,0,7.2,2.15,0.6,0,3.61,1.99,0.57,0.63,0,2.15,3.01,0,21.67,9.99,0,0,255.61,0,0,0,0
108-118,0,0,22.16,1.22,1.43,4.23,3.36,0,1.08,0.91,0,0.69,0,4.02,0,0.65,19.29,1.99,0,0,180.92,0,0,0,2.22
120,0,0,13.89,0,1.83,5.24,0,1.66,2.7,1.61,0,0,0,6.45,3.44,0,0,0,0,0,140.73,0,0,0,0
