stage,axial,blastomeres,endocrine.pancreas,erythrocytes,eye,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,neural,notochord,olfactory,otic,pronephros,spinal.cord,vasculature
  3-4,27.43,31.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,51.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,15.44,0,0,0,6.08,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.28,2.27,0,0,0,1.45,0
 24-34,0,0,0,0,0.84,0,0,0,0,0,8.95,0,0,13.21,0,1.9,0
 36-46,0,0,0,0,0,0,0,0,0,2.55,6.24,0,0,4.14,0,4.39,1.11
 48-58,0,0,0,0,0,0,2.37,0,4.16,0,7.61,0,0,6.97,0,0,0
 60-70,0,0,0,0,0,0,0,0,15.92,0.89,4.05,0,0,38.34,0,0,0
 72-82,0,0,0,0,0,0,0,0,28.32,1.19,0.66,0,0.53,59.99,0,0,2.06
 84-94,0,0,0,0,0,0.89,0,0.68,17.7,0.57,6.11,0,0,92.77,0,0,0
 96-106,0,0,0,0,0,0,0,0,32.42,1.08,9.19,0,0,98.17,0,0,0
108-118,0,0,0.91,0,0,0,2.54,0,27.71,0,11.18,0,0,62.14,0,0,0
120,0,0,0,5.08,0,0,0,0,26.97,0,9.87,0,0,58.1,0,0,0
