stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,180.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,154.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.72,0,0,0,3.55,0,0,0,0,3.28,0,0
 14-21,0,0,0,0,0,0,0,0,45.08,0,0,0,0,1.81,0.81,36.75,0.89,1.74,2.23,0,0,2.48,26.78,2.84,111.01,0,0
 24-34,0,0,0,2.71,0,0,0,0,58.54,0,0,0,0,0,0,67.73,0,30.61,4.84,0,0,0,36.48,0.62,151.77,0,0
 36-46,0,0,0,0,0,1.62,0,0,64.74,0,0,0,15.36,6.66,0,53.17,0,45.67,4.83,0,0,0,18.29,0,109.36,0,0
 48-58,0,0,0,0,0,1.81,0,0,50.43,0,0.42,0.4,0,0.59,0,48.81,0,34.63,9.39,0,3.08,0,16.47,0,99.39,0,0
 60-70,0,0,0,0,0.71,0,0.77,0,54.51,0,0,4.99,0,3.47,0,52.72,0,32.83,2.34,0,0,0,14.86,0,54.91,0,8.44
 72-82,0,0.54,0,0,7.27,2.97,0,0.89,44.72,0.69,0,2.02,0,0.67,0,47.25,0,57.13,8.54,0,0,0,2.85,0,39.34,0.63,0
 84-94,0,0,0.89,0,0,4.57,0,0,24.64,0,0,3.05,0,0,0,43.63,0,42.33,25.16,0,0,0,9.93,0,50.29,0,0
 96-106,0,0,0,0.6,0,4.28,0,0,47.18,0,0,15.25,0,0,0,33.45,0,55.4,27.36,0,0,0,5.18,0,33.07,0,0
108-118,0,0,0,0.46,0,11.19,0,0,45.82,3.53,0,10.87,0,4.75,0,49.76,0,39.34,20.87,0,0,0,9.59,0,19,0,0
120,0,0,3.17,3.66,0,25.23,0,0,31.49,0,0,4.33,0,9.62,0,25.66,0,64.99,39,0,0,0,5.01,0,22.29,0,0
