stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,hatching_gland,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord
  3-4,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.14,180.61,0,0,0,0,0,0,0,0,0,8.67,0,0,0,0,0,0,0
  7-9,0,0,3.84,0,0,5.17,0,3.89,0,0,0,131.14,0,0,45.73,0,5.15,0,0
 10-12,0,0,0,0,8.32,4.33,0,0,0,0,0,27.15,0,0,21.32,0,0,4.43,0
 14-21,0,0,0,4.22,0,0,0,0,0,0,0,2.12,0,0,0,0,0,2.08,2.88
 24-34,0,0,0,0,0,1.61,0,0,0,0,0,4.45,0,1.38,0,0,0,0,2.06
 36-46,0,0,0,0,0,0.99,4.74,0,0,0,0,6.64,0,0,0,0,0,0,11.2
 48-58,0,0,0,0,0,0.94,0,0,0,0,0,1.28,0,0,0,0,0,0,1.94
 72-82,0,0,0,0,0,0,0,0,0,0,1.18,4.63,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.72,0,0,0,0,2.42,3.15,0,0,0.42,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,2.86,0,0,0
