stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,222.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,74.66,846.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.24,17.23,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.58,8.76,0,17.35,0,0,36.01,0,0,0,0,27.97,0,0,0,0,0,0,0,0,0,350.14,9.82,0,0,65.54,0,0,0,0,0,0,0,0,0
 10-12,0,8.19,0,5.88,0,0,28.86,0,0,0,0,15.12,0,0,0,0,0,0,0,0,0,199.72,10.13,0,0,95.3,0,0,15.34,0,0,0,0,0,0
 14-21,0,0,0,0,16.39,3.24,11.28,0,0,9.29,0.85,0,0,0,0,0,0,3.97,0,0,8.68,149.17,8.1,0,1.82,4.43,1.83,18.07,0.85,15.29,41.76,0,0,0,0.85
 24-34,0,0,0,0.6,3.49,0,16.06,1.24,0,0.89,0.66,0,0,0,0,2.18,0,4.08,0,0,1.72,167.85,0.7,4.49,0.62,0,1.51,0,0,0.73,31.91,0,4.59,0,0
 36-46,0,0,0,0,4.5,0,22.69,0,0.62,8.96,0,0,0.65,0,0,0,0,6.99,0,0,6.91,169.95,3.22,2.09,0.82,0,1.3,0,0,0,30.57,0,6.27,0,3.92
 48-58,0,0,0,0,2.29,0,37.57,7.77,0.4,16.42,0,0,0.42,0,4.34,0,0.4,9.33,0,1.42,7.21,73.83,0.41,0.84,0,0,1.24,0,0,0,17.41,0,4.08,0,3.21
 60-70,0,0,0,0,5.31,0,19.34,0,0,5.64,0,0,0,3.69,0,3.76,0,15.29,0,0,0,64.8,0,0,3.63,0,4.4,0,0,0,8.28,0,1.4,0,0
 72-82,0,0,0,0,0.55,0,23.71,0.78,1.36,5.51,0,0,0,0.69,0.54,0,0,7.08,0,0.55,3.2,48.02,0,0,0,0,0.61,0,0,0,8.53,0,0.86,1.51,0
 84-94,0,0,0,0,4.9,0.92,17.64,0,0.77,2.66,0,0,1.78,0.56,0,0,0,9.89,0.71,0.65,1.02,34.2,0,0.83,0,0,7.59,0,0,0,0,0,1.91,0.89,0
 96-106,0,0,1.95,0,2.24,0,9.42,0,0,7.51,0.81,0,0,0,0,1.89,0,14.95,0,0,0.69,14.67,0,2.14,0.73,0,4.59,0,0,0,0.58,0,3.51,0,0
108-118,0,0,0,0,4.61,0,24.08,2.71,0.84,9.42,0,0,0,0,0,0,0,13.1,0,2.24,0,61.84,0,0,0.76,0,22.09,0,0,0,2.32,0,1.56,0,0
120,0,0,0,0,13.03,2.35,0,1.77,1.66,5.91,0,0,3.65,0,0,0,0,30.21,0,0,0,45.93,3.89,0,0,0,4.28,0,0,0,1.57,1.46,2.64,0,0
