stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,9.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.29,0,0,0,0
  5-6,24.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.94,0,0,0,0
  7-9,0,0,0,0,0,0,4.75,0,0,0,0,0,0,9.02,0,6.37,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.81,2.67,0
 24-34,0,0,0,0,1.48,0,0,0,0,0,0,0,0,14.87,0,0,0,0,0,0,0
 36-46,0,1.24,0,0.6,0,0,0,0,0,0,0,0,0,18.35,1.86,0,0,0,0,1.63,0
 48-58,0,0,0,2.47,0.61,0,0,0,0.7,0,0,1.02,0,43.2,2.27,0,0,0,0,4.44,0
 60-70,0,0,0,5.35,0,0,0,0.76,2.61,0,0,0.67,0.58,93.34,3.84,0,0,0,0,10.31,0
 72-82,0,3.37,5.65,6.78,0,0,0,0,6.65,0,0,0,0,53.79,0,0,0,0,0,4,4.18
 84-94,0,3.16,9.41,2.53,1.64,0,0,0,2.17,0,0,2.56,0,27.74,3.15,0,1.84,0.66,0,25.83,2.67
 96-106,0,0,0,11.34,0.68,0,0,0,4.08,0,0.63,3.41,0,5.24,2.23,0,10.09,0,0,6.6,0
108-118,0,3.07,0,6.6,0,0.51,0,0,2.8,0.45,2.22,0.56,0,31.49,0,0,2.6,0,0,2.54,4.82
120,0,0,0,15.22,0,0,0,0,39.8,0,0,12.6,0,62.65,0,0,13.01,0,0,5.94,0
