stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,muscle,neural,paraxial.mesoderm,xanthophores
  5-6,9.9,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.58,5.18,0
 24-34,0,0.62,1.51,2.53,0.81,0,0,0.99,1.27,4.62,0,0.81
 48-58,0,0,0,1.31,0,0,0,0,0.61,0,0,0
 60-70,0,0,0,0.88,0,0,1.91,0,0,0,0,0
 84-94,0,0,0,1.1,0,0.8,0,0,0,0,0,0
108-118,0,0,0,1.68,0,0,0,0,0.78,0,0,0
