stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,hatching.gland,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm
  3-4,0,89.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.15,57.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.64
  7-9,0,0,0,0,3.86,0,5.01,0,0,0,0,0,0,16.77,7.1,0,4.7,5.69
 10-12,0,0,4.55,0,3.99,0,0,0,0,0,0,0,0,43.99,0,0,16.66,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0.72,0,18.39
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,37.1
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
 60-70,0,0,0,0,0,0,0,0,0,9.71,1.32,0,2.21,0,0,0,0,27.8
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,12.25
 84-94,0,0,0,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6
 96-106,0,0,0,0.93,0,0.71,0,1.89,0.66,0,1.27,0,0,0,0,0,0,12.99
108-118,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0.75,0,0,0,6.82
120,0,0,0,1.2,0,0,0,0,0,0,0,0,0,11.71,0,0,0,9.14
