stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,32.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,14.98,0,0,0,9.26,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.07,0,0,0,0,0,0,5.38,0,0,0.95,0,0,0,0.91,1,8.19,1.07,0
 24-34,0,0,0,0,2.27,0,0,0,0,0,0,1.38,14.43,0,0.69,0,0,0,5.88,0,0,40.85,0,0
 36-46,0,0,0,0,3.15,0,2.56,0,0,0,0,0,24.54,0,0,0,0,0,1.52,0,0,17.81,0,0
 48-58,0,0,0,0,3.53,0,0,0,0,2.44,0,0,24.56,0,0,0,0,0,2.45,0,0,9.99,0.51,0
 60-70,0,0,0,0,30.09,0,0,0,0,1.09,0,0,34.26,0,0,0,0,0,0,0,0,20.45,0,0
 72-82,0,1.89,0,0.78,34.07,8.92,0,0,0,3.99,0,0,24.01,0.66,1.49,0,0,0,0.54,0,0,12.03,2.07,0
 84-94,0,0,0,0,77.02,3.38,0,0,1.67,3.93,1.13,0,28.67,0,0,0,0,0.57,6.53,0,0,6.73,6.27,0
 96-106,0,0,2.92,0,82.54,2.28,0,0,0,6.28,2.26,0,23.74,0,0.7,0,0,0,4.33,0,0,0,14.71,0
108-118,0,0,0,0,79.68,5.29,0,0.56,0,5.29,6.44,1,36.9,0,0.47,0,0,1.35,2.16,0,0,4.78,3.85,0.68
120,0,7.54,0,0,52.49,0,0,0,0,5.95,6.75,0,18.31,0,2.28,0,0,0,1.34,0,0,0,0,0
