stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0.93,2.42,0,0,0,0,0,1.91,11.66,0,0,0
 24-34,0,0,1.73,1.93,0,0,0,0,0,0,0,0,1.07,0,0,0,28.38,0,0,0,0,0,0,22.31,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.41,0,0,5.21,114.99,0,0,0,0,0,0,21.92,0,0,0
 48-58,0,0,1.21,0,14.57,0,0,0.57,2.4,0.67,1.93,0,5.57,0,3.31,8.28,116.06,0,0,0,0,0,0,17.82,0,0.85,0
 60-70,0,0,1.82,0,7.47,0,0,0,4.25,1.64,2.2,0,20.82,0,2.8,4.61,177.12,0.84,0,0,0,0,0,11.74,0,1.76,0
 72-82,0,0,0,0,10.95,0.65,0,0,22.68,4.21,0,0,36.55,0,6.19,5.97,240.44,0,0,0,0,0,0,6.16,0,13.54,20.11
 84-94,0,0,0,0.77,9.55,0,0,0,5.76,6.97,0,1.88,36.39,0,1.31,5.06,98.5,0,0,0,0,4.18,0,0.59,3,3.6,14.55
 96-106,0,0,0,3.25,4.61,0,0,0,27.47,10.09,0.72,0,44.84,0.81,6.64,3.57,120.97,0,1.74,0,0,4.97,0,14.1,0,9.2,22.49
108-118,0,0,0,1.8,33.25,2.37,0,0,15.06,1.59,0,0,32.77,0,5.77,8.8,144.6,0,0,0,3.71,0,0,7.7,0,5.82,14.54
120,0,0,0,0,12.96,0,0,1.88,20.97,1.33,0,0,9.44,0,5.78,16.73,277.88,0,0,0,0,0,0,0,0,6.41,14.95
