stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.69,0,0,0,8,0,3.28,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.57,0,0,0,0,0,0,0,0,9.49,0,0,0,0,0
 14-21,0,0,1.1,2.04,1.36,1.12,0,0,0,0,0,2.36,0,0,0,0,0,0,0,2.87,4.43,64.77,0,0,1.83,0,0,9.5,0,97.36,407.68,4,0,0,0,0
 24-34,0,0,0.93,0.82,0,1.55,2.77,1.01,0,2.12,0,3.54,0,0,0,0,0,1.72,0,14.8,32.62,13.36,0,0,0,0,6.49,0,2.58,38.94,135.11,7.78,0,0.75,0,0
 36-46,0,0,0,0,0,3.11,23.96,0,0,0,0,4.18,0,0,0,0,0,2.05,0,3.47,40.53,5.51,3.1,3.52,0,0,5.18,0,3.62,29.13,3.52,12,0,0,0,6.07
 48-58,0,0,0,0,0,16.17,7.04,0.55,0.97,6.54,0,5.94,0,0,0,1.42,0,5.95,0.44,9.91,69.95,2,0,0,0,0,3,0,3.71,31.08,0.83,18.28,0.98,0,0,4.59
 60-70,0,0,0,0,0,25.4,15.17,0,1.83,32.16,0,7.7,0,0,0,0,0,25.13,8.44,7.48,61.37,2.91,1.22,0.84,0.81,1.03,1.49,0,0,29.76,0,4.5,10.98,0,0,0.99
 72-82,0,0.74,0,3.44,6.42,45.52,40.35,0.5,0.59,137.7,0,7.26,0,0,0,0,0,72.91,5.56,17.28,97.25,1.84,0,0,0,6.1,4.32,0,8.12,4.04,0,3.84,10.47,1.19,2.13,0
 84-94,0,0,0,2.12,0,43.87,32.52,0,0,97.32,0,8.62,1.71,0,0.62,0,0,50.91,7.05,7.1,77.79,1.96,0,0,0,0,0,0,6.88,15.19,0,6.74,8.36,1.2,0,0
 96-106,0,0,0,3.04,0,36.5,62.92,0.66,0,218.65,0.67,9.12,0,0.74,0,0,0,80.05,4.21,14.85,111.87,5.65,0,0,1.2,3.72,6.82,0,7.05,15.73,0,3.39,18.85,6.04,0,0
108-118,0,0,0,3.1,0,57.27,45.1,0,0,179.69,0,9.12,0,0,1.49,0.49,0.9,102.45,7.87,18.52,93.67,2.07,0,0.57,0,0,0.52,0,4.41,7.98,0,3.2,20.86,0,0,0
120,0,0,0,5.38,0,43.89,83.46,0,0,416.97,2.43,4.47,3.15,0,0,0,0,62.4,33.55,19.48,119.14,16.83,0,0,0,41.39,3.92,0,7.75,11.61,0,3.65,36.58,0,0,0
