stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,2.97,0,0,0,0
 24-34,0,0.75,0,0,0,0,0,0,0,0,0,0,0.98,0,0,17.15,0,0,0,3.78,0,0,0,0,0
 36-46,0,0.56,4.57,1.54,0,2.01,0,0,0,0,0,0,0.83,0,0.8,17.63,0,0,0,4.22,0,3.53,0,0,0
 48-58,0,3.07,2.93,0,0.4,0.46,0,0,0,0,0,0,2.09,0,0,14.9,1.71,0,0,1.96,0,3.61,0,0,0
 60-70,0,0,10.81,0,0.65,1.08,0,0,0,0,0,0,0.95,0,0.58,22.37,0,0,0,6.87,0,3.72,0,0,2.26
 72-82,0,0,1.51,0,0,3.68,0,1.61,0,0,0,0,0.95,0,0,18.8,0,0.55,0.51,4.33,0,0.99,0,1.59,0
 84-94,0.56,2.06,0,0,2,0,0,0.73,0,0,0,1.44,2.36,0,0,4.25,0,0,4.72,12.86,0,0,0,0,0
 96-106,0,3.2,0.66,0,0,0,0,5.98,0,0,1.29,0,2.18,0,2.86,9.71,0,0,0,34.11,0,0,0,0,0
108-118,0,1.91,3.59,0,0,1.03,3.27,1,0,0,0,0,6.95,1.41,1.29,12.55,0,0,0,20.34,0,0,1.12,0,0
120,0,3.61,0,0,2.35,0,0,0,2.26,11.1,0,1.05,0,0,0,20.52,0,0,0,10.18,0,0,0,0,0
