stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,262.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.52,0,0,0,0,0,0,0,0,0
  5-6,6.24,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.97,0,0,0,0,8.19,0,0,0,0,0,0,0,0,0,0,0,24.45,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.5,0,0,0,0,14.45,0,0,0,0,10.37,0,0,0,0,0,3.73,0,0,0,0,0,235.37,0,0,0,38.47,0,0,4.8,0,9.36,0,0,0,0,0,0
 14-21,0,0,0,3.94,12.58,0,30.48,0,0,0,0,0,0,0,4.72,0,0,3.1,1.06,3.02,0,0,1.09,89.36,0,0,2.87,0,0,0,1.31,5.09,0,3.18,19.35,0,0,0,1.57
 24-34,0,0,0,2.97,3.14,0,111.59,0,0.88,0.64,0,0,0,0,0,0,0,11.52,4.48,4.38,0,0,1.46,109.41,0.65,0.69,0,0,0,1.39,0,0,2.91,0,11.07,0,4.47,0,3.66
 36-46,0,0,0.94,1.61,0.76,0,92.3,0,0,3.42,0,0,0,0,0,0,0,2.96,6.13,3.53,0,0,0.64,94.94,0,0,4.08,0,0,0,0,0,5.2,0,27.37,0,0,0,1.44
 48-58,0,0,0,0.48,0,0,60.54,0,2.78,18.71,1.08,0,0.83,0,0,0.4,0,2.3,4.12,11.35,0,0,0,171.19,2.65,0.84,0,0,0,0,0,0,2.22,0,22.15,0.4,1.45,0,10.17
 60-70,0,0,0,9.55,0.67,0,71.64,0,0,40.91,0,0,0,0,0,2.45,0,1.33,1.94,39.48,0,0,2.31,218.48,0,0.98,0,0,0,0.81,0,0,14.57,0,24.36,2.29,0,0,4.09
 72-82,0,0,1.79,7.69,0,0,135.62,0.58,2.62,68.28,3.35,0,0.51,2.89,0,0.5,0.84,1.26,0,52.49,0,2.36,2.8,294.2,3.31,7.26,0.61,0,4.52,0.5,0,0,7.53,0,25.29,1.39,1.1,1.77,6.9
 84-94,0,0,4.36,5.73,3.62,0,91.85,3.24,0.74,63.3,3.41,0,1.01,1.3,0,2.01,0,2.48,2.05,44.69,0,3.43,0,160.91,0,3.48,0,0,0,0.89,0,0,9.09,0,12.38,5.86,0.84,0,7.74
 96-106,0,0,1.43,5,12.6,0,87.72,0.93,2.05,92.89,1.47,0,2.36,1.59,0.71,1.4,0,0.7,0,76.01,2.75,2.27,3.79,215.73,0,4.73,1.79,0,0,2.28,0,0,7.22,0,19.49,3.02,2.28,3.69,10.67
108-118,0,0,0,20.83,5.09,4.71,68.54,4.93,4.36,120.32,0,0,0,3.52,0.42,4.67,1.39,2.63,3.75,90.01,0,1.29,13.86,262.47,0,0.54,12.51,0,0,0,0,0,1.44,0,15.84,3.01,3.61,1.57,5.58
120,0,0,1.73,32.66,8.99,0,93.85,2.55,1.61,220.33,2.62,0,1.17,0,0,0,3.86,0,3.89,82.03,0,24.48,13.45,430.65,0,5.1,8.58,0,0,0,0,0,0,0,23.74,2.68,6.75,10.33,12.02
