stage,eye,mesenchyme,neural,vasculature
 14-21,0,0,1.17,0
 24-34,0,0.62,0,0
 48-58,0,0,0.77,0
 72-82,3.34,0,1.73,0.61
 96-106,2.28,0,4.26,0
