stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,otic,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0,0
 14-21,2.76,0,0,0,0,1.08,0,0,0,0,0,0.94,0,0,0,79.33,0,0,76.71,0,0,0
 24-34,2.17,0.67,0.89,0,0,0,0,0,0,0,0,0.6,1.24,0,0,399.44,0,2.13,74.35,0,0,0
 36-46,0.63,0,1.73,0,0,0,0,0,0,0,0,8.27,0,0,0,604.55,0,0.69,71.6,0,0,0
 48-58,0.43,0,66.03,0,6.07,0,0,0,0,0,0,6.13,0,0,0.72,413.54,0,0,82.65,0,0,0
 60-70,1.17,0,404.18,0,1.1,0,0,1.43,0,0,0,9.97,0,0,0,182.38,0,0,44.94,0,1.46,0
 72-82,4.45,0,1088.3,1.07,4.21,0,0.89,0,0,0,0,9.5,0,0,2.99,128.08,2.07,1.71,12.2,0,0.86,0
 84-94,6.25,0,741.58,1.18,9.22,0.96,0,0,0.55,0.9,0,24.94,0,1.03,0,82.56,0,1.72,15.06,0,2.54,0
 96-106,0.64,7.23,794.24,0,20.7,0,0,1.88,0,0,1.56,5.07,0,0,0,100.11,0,2.38,9.83,0,0,0
108-118,1.34,0,750.01,0.53,23.09,0,0,2.94,0,0,0,0,0,0,1.74,52.96,0,4.41,7.57,0.71,0,1.93
120,5.3,0,523.44,0,39.31,0,0,0,0,0,0,3.15,0,0,1.82,73.66,0,0,15.77,0,0,0
