stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,22.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,51.68,90.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.21,0,0,10.65,0,0,10.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.41,3.49,0,0,41.46,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.56,0,59.28,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,348.39,151.3,0,0,1554.22,0,0,26.18,8.29,0,822.14,17.33,0,0,0,0,0
 14-21,0,0,0,0,22.97,0,0.85,0,0,0,3.4,4.3,0,126.68,0,1.08,0,0,0,2.26,50.76,0,0,449.5,94.57,0,3.25,0.83,36.29,0,1.04,146.58,2.35,4113.72,13627.68,15.69,0,0,1.05,0,0
 24-34,0,0,0,0.76,15.24,0,71.95,648.47,1.39,0,2.45,0,0,189.19,0,2.09,0,0.68,1.67,9.04,90.45,0,0,629.13,446.74,0,2.42,4.51,2.99,0,11.13,4.1,10.66,1127.73,5335.14,46.78,0,0,27.02,0,2.41
 36-46,0,0,0.73,0,2.38,1.12,114.58,897.26,0,0.95,3.59,0.83,0,84.15,0,0,2.34,0,0,0,66.06,3.65,4.24,228.55,225.68,1.12,2.58,0,32.82,2.85,24.31,11.89,0,575.8,236.29,31.79,0,0,4.75,0,5.24
 48-58,0,0,0,0,1.21,5.61,850.16,627.54,0.69,0.95,20.39,0,6.19,43.81,3.41,0,2.96,0.4,0,0.45,47.27,0,1.78,403.45,259.64,0,0,0,0,0,4.25,0,0,360.17,3.6,59.2,0,2.39,4.64,0,12.55
 60-70,0,0,0,0,11.56,0.81,5499.72,561.23,0,1.34,26.31,1.82,0,43.84,0,6.4,1.14,0,0,10.96,48.9,0,7.81,359.03,188.32,0,0,1.61,1.62,1.65,11.87,6.89,9.51,232.27,0,25.73,0,2.71,1.1,0,10.5
 72-82,0,0,1.01,0,32.18,19.32,8106.31,342.41,1.07,2.8,121.12,0.5,0,10.65,1.76,2.52,0,0,0,6.97,59.6,0,5.64,215.02,351.42,0,4.15,5.37,2.25,1.3,3.13,0,0,85.45,0,25.84,0,0.52,2.3,0.52,8.1
 84-94,0,0,2.38,0,26.79,11.34,5995.98,406.99,3.15,1.88,102.47,3.46,0,21.62,3.64,0.91,3.08,0,0,4.3,64.98,0,3.99,247.77,247.04,0.63,0,4.59,0,0,16.1,0,0,119.65,0,15.77,0,2.26,20.27,3.6,1.56
 96-106,0,0,0,0,10.32,10.59,5785.75,406.84,3.89,0,58.86,3.63,0,22.5,4.99,1,2.07,0,43.8,0,67.32,0,4.64,161.08,255.87,0,0.59,2.99,3.61,0,18.13,0,0.7,108.08,0,2.8,0.67,1.74,5.59,4.41,0.75
108-118,0,0,0,0,12.53,1.78,4767.72,276.96,1.66,0.47,68.32,1.91,0,31.91,3.91,0,0.51,0.81,3.47,0,60.8,0,3,186.8,199.01,0.45,0.67,2.5,0,0,4.12,0,0,92.82,0,7.35,3.42,3.05,4.16,1.07,2.44
120,0,0,0,0,50.34,0,2704.73,237.07,2.39,2.8,101.47,6.37,0,20.17,0,0,11.74,0,3.79,0,74.32,0,2.13,228.88,372.26,0,0,2.44,19.84,0,6.6,1.12,0,50.7,0,0,1.94,0,0,0,0
