stage,blastomeres,endoderm,erythrocytes,eye,glial,gut,immune,lateral_line,mesenchyme,neural,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,14.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,63.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,22.35,7.8,0,0,0,0,0
 10-12,0,3.34,0,0,0,0,0,0,0,22.45,9.43,0,0,0,0,0
 14-21,0,0,1.65,0,0,0.85,0,0,0,2.42,0,0,1.36,0,0,0
 24-34,0,0,0,0,0,0,0,0.75,0,4.95,0,0,0,1.84,0,8.58
 36-46,0,0,0,0,0,0,0,0,0,11.06,0,0,0,1.19,0,0
 48-58,0,0,0,2.87,0.4,0,0,0,0,11.79,0,0,0,2.89,0,0
 60-70,0,0,0,3.94,1.24,0,0,0,0,2.39,0,0,0,0,0,0
 72-82,0,0,0,5.27,0,0,0,0,0,7.1,0,0,0,0.76,0,0
 84-94,0,0,0,1.51,0,0,0,0,0,3.47,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.59,0,0,2.9,0,1.18,0,0,0,0
108-118,0,0,0,0,3.46,0,0,0,1.56,3.82,0,0,0,0,1.66,0
