stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,342.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.39,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.09,479.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.13,0,0,0,8.57,0,22.01,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.41,4.84,0,5.04,0,0,23.41,0,0,0,0,0,14.83,0,0,0,0,0,0,0,0,0,0,436.58,10,0,0,151.36,0,0,6.2,0,0,0,0,0,0,0,0,0,0
 10-12,0,69.45,0,32.38,0,0,44.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.89,10.48,0,0,130.28,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.04,3.62,1.8,2.06,0,0,0,0,1.07,0,0,0,0,0,0,0,0,3.15,0,1.71,72.38,0.9,0,0,0,0,0,0,15.35,0,3.64,26.25,18.36,0,0,0.89,0,0
 24-34,0,0,0,0,2.75,0,11.67,0,0,0,0.72,0,0,0,0,0,0,0,0.65,0,5.03,0,16.08,128.82,3.79,0,0,0,0,4,0,0,0.85,0.85,6.97,36.82,0,0,2.72,0,0
 36-46,0,0,0,0,1.22,0,15.57,1.18,0,0,5.8,0,0,0,0,0,0,0,0,0,10.55,0,3.54,88.11,0.84,0.63,0,0,0,1.67,0,0,15.06,0,0,14.84,0,0,3.1,0,0
 48-58,0,0,0,0,4.17,0,40.42,2.71,1.01,0.41,5.44,0,0,0.77,0,0,3.8,0,0,0,11.62,0.41,5.39,52.28,0,0.91,0,0,0,11.26,0,0,0.8,0,0,5.25,0,0,0,0,0.55
 60-70,0,0,0,0,1.4,0,44.77,1.34,0,0,12.1,0,0,0,0,0,0,0,0,0,6.05,2.11,1.47,64.66,0,0,0,0,0,9.65,0,0,0,0,0,9.77,0,0.65,4.49,0,0
 72-82,0,0,0,0,2.8,0,23.27,1.29,0,0,9.22,0.66,0,0,0,0,0.54,0,0,0,22.49,2.92,1.27,60.22,0,0,2.12,0,0,2.77,0,0,0.84,0,0,8.57,0,0,4.83,0,0
 84-94,0,0,0,0,2.93,0,28.14,0,0.63,0,0.59,0,0,5.71,0,1.12,0,9.38,0,0,15.11,3.16,1.88,59.1,0,0,0,0,0,2.89,0,0,0,0,0,2.16,0,0,1.23,0,0.69
 96-106,0,0,0,0,0.6,0,18.06,0,0,0,6.85,0,0,0,1.8,0,1.05,2.22,0,0.67,25.15,0,0.67,47.68,0,0,0,0,0,0,0,0,0,0,0,1.91,0.67,0,2.45,0.68,0
108-118,0,0,0.59,0,6.64,0.57,26.43,0,0,4.21,14.26,1.97,0,0,0,0,0.65,0.43,0,0,19.55,1.62,2.21,49.9,1.05,1.58,1.22,0,1.33,5.9,0,0,0,0.56,0,0,0,1.46,5.12,0.99,1.5
120,0,0,0,0,18.04,0,29.64,4.43,2.62,0,12.67,0,0,0,0,0,0,0,0,0,67.93,0,8.17,81.54,0,5.02,0,0,0,10,0,0,2.75,0,0,0,0,0,0,0,0
