stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,38.59,0,7.81,0,0,0,0,0,0,0,0
 10-12,0,10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35,0,48.38,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,3.46,0,3.59,0,0,0,7.66,0,0,0,0.83,0,0,0,0,0,0,0,2.16,0,0
 24-34,0,0,0,0,0,0,0,0,30.38,0,0,0,0,0,0,9.33,4.11,0,0,0,0,0,0,0,78.86,0,0
 36-46,0,0,0,0,0,0,0.86,0,73.5,0,0,0,0,0,0,3.17,14,0,0,0,0,0,0,0,98.83,0,0
 48-58,0,0,0,0,0,0,0,0,172.45,0,0,0,0.98,0,1,7.6,13.92,0,0,0,0,0,6.8,0,186.05,0,0
 60-70,0,0,0,5,8.85,0,0,0,289.58,0,0,0,1.22,0,0,19.76,5.92,0,0,0,0,0,0,0,234.76,0,0
 72-82,0,0,0,1.05,37,0,0,0,236.24,0,0,0,1.6,0,1.29,16.24,0.88,2.61,0,0,0,0,0,0,234.59,0,2.33
 84-94,0,0,1.4,0,32.58,0,0,0,343.03,0,0,0,0,0.96,0,13.33,2.38,0,0,3.7,0,0,0,0,284.19,0,0
 96-106,0,0,4.52,1.82,38.88,2.19,1.08,1.72,399.02,0,0,7.1,13.35,0,0,45.08,0.85,0,0,2.78,0,0.6,0,1.88,429.36,1.2,0
108-118,0,0,0.85,1.34,53.97,0.88,0,0,271.86,1.57,0,0,7.53,0,0,12.86,0.51,0.63,0,0,0.56,0,0,0,439.87,0,0
120,0,0,0,3.07,61.34,1.45,0,0,546.9,0,3.23,0,9.64,0,0,96.64,3.51,0,0,0,0,0,0,0,426.4,0,0
