stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,mesenchyme,neural,otic,periderm,spinal.cord
  3-4,53.95,0,0,0,0,0,0,0,21.4,0
  5-6,96.02,0,0,0,0,0,0,0,0,0
  7-9,4.88,0,0,0,0,0,68.86,0,0,0
 10-12,0,0,0,0,0,0,3.95,0,0,0
 14-21,0,1.37,0,0,0,0,7.12,0,0,0
 24-34,0,0,0.72,0,0,0.8,42.53,1.21,0.64,1.54
 36-46,0,0,0,0,0.58,0,12.79,0,0,1.51
 48-58,0,0,0.51,0,0.99,0,8.61,1.1,0,1.64
 60-70,0,0,1.71,0,0,4.96,10.87,0.85,0,0.86
 72-82,0,0,0.58,0,0,0,1.65,2.56,0,0
 84-94,0,0,0,0,0,0,3.75,0,0,0
 96-106,0,2.04,1.5,0.82,0,0,1.41,0,0,0
108-118,0,1.57,0,0,0.93,1.08,9.71,0.78,0,0
120,0,0,1.31,0,0,5.88,21.56,0,0,0
