stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,visceral.smooth.muscle
  5-6,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.39,0,0,0,0,0,0,0,0,0,0,0,6.88,49.51,23.38,0,0,0,0,0,0,0,0
 10-12,0,11.46,0,0,0,0,0,0,0,0,0,0,41.41,189.75,93.85,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.78,0,0,0,4.38,0,0,2.78,0,20.81,10.97,2.12,0,0,4.15,0,2.14,40.42,0,0
 24-34,0,0,0,0,0,0.85,1.23,1.86,0,0,3.95,0,10.59,8.02,0,0,0,0,0,1.64,118.43,0,0
 36-46,0,0,1.21,0,0.57,0,4.14,0,0.56,0,5.52,1.12,6.13,0,0,0,0,0,0,0,114.98,0,0
 48-58,0,0,0,0,1.83,0.68,3.96,0,0,0,3.49,1.01,2.99,0,0,0,0,0,0,0,74.45,0,0
 60-70,0,0,0,0,0,1.16,0.76,0,0,0,5.26,1.57,9.33,0,0,0,0,0,0,0,20.91,0,0
 72-82,0,0,0,0,1.98,0.55,6.92,0,1.21,0,1.21,0.76,17.65,0,0,0,0,0,0,0,33.8,0,0
 84-94,0,0,2.72,0,2.83,8.25,5.92,2.07,2.12,3.14,3.19,0,0,0,0,0,0,0,0,0,29.67,0,0
 96-106,0,0,0.63,0,0,0,2.79,3.84,2.47,0,5.78,0,10.39,0,0,4.62,0,0,0.7,0,29.04,0,0
108-118,0,0,0,0,0,0,0,0,3.15,0,1.47,1.58,13.35,0,0,0,0,0,0.46,0,20.33,0.72,0
120,0,0,0,0,0,0,0,0,5.86,0,0,0,0,0,0,0,5.19,0,0,0,24.54,0,1.99
