stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,100.59,1232.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.33,0,0,0,0,0,0,0,0,0,0
  5-6,186.48,2645.32,0,22.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.71,10.41,0,0,35.45,53.84,0,0,0,0,0,0,0,0,0,0
  7-9,110.94,115.62,0,149.3,0,0,277.69,0,0,0,0,0,110.51,0,0,0,0,0,0,0,0,0,0,0,2158.09,116.01,0,0,835.06,3.89,19.67,0,0,0,0,0,0,0,0,0
 10-12,0,9.64,0,109.26,0,40.12,101.44,0,0,0,0,0,53.05,0,0,0,0,0,0,0,0,0,0,0,1594.19,12.68,0,0,454.25,0,19.99,4.56,89.74,0,0,5.32,0,0,0,0
 14-21,0,0,0,0,25.06,9.42,19.62,0,0,0,5.2,1.08,0,0,0,0.82,0,0,0,0,21.38,0,0,12.6,282.43,3.91,1.89,6.77,5.94,3.35,0,23.92,0,0.95,18.83,88.66,0,3.02,0,0
 24-34,0,0,0,1.63,5.19,3.09,54.91,0,0,0.83,9.89,0,0,4.77,0,0.67,0,0,0.96,0,36.09,0,0.89,11.9,565.01,0.63,8.64,2.02,0,13.98,0,0,0,0,2.61,106.73,0,22.59,0,0.78
 36-46,0,0,0,0,10.57,1.21,160.1,0,0,1.23,8.76,0.74,0,5.25,0,0,0,0.57,0,0,31.94,0,1.86,14.23,349.18,0,1.19,0.9,0,1.87,0,0,0,0,0,66.17,0,9.96,0,1.63
 48-58,0,0,0,0,7.8,4.03,193.53,0,0,0.8,15.68,0,0,9.77,0,0,0,0.56,0,3.07,31.77,0,0.86,9.64,203.39,0,0,0,0,7,0,0,0,0,0,25.7,0,28.55,0,2.99
 60-70,0,0,0,0,9.43,0,170.65,0,0,0,28.3,6.1,0,1.26,0,0,0,5.38,0,0,35.11,0,0.85,8.06,133.79,0,0.92,3.63,0,0.59,0,0,0,0,0,23.54,0,5.93,0.77,4.91
 72-82,0,0,1.54,0,3.44,1.75,74.95,0,0,0.55,16.93,0,0,7.71,0.52,0,0,0,0,3.49,51.24,0,0,6.28,124.73,0,5.58,1.34,0,2.72,0,0,0,0,0,10.53,0,29.96,4.7,7.22
 84-94,0,0,0,0,7.77,3.1,49.52,0,6.52,4.58,17.59,1.59,0,5.84,2.09,0,3.07,0,1.69,0,37.21,0,0.96,5.02,86.41,1.16,0.67,1.07,0,6.65,0,0,0.57,0,0,21.87,1.01,14.22,0.68,0
 96-106,0,0,0,0,8.33,2.12,67.93,0,2.96,0.84,13.72,2.57,0,9.57,0.87,0.72,2.05,0,0,0.75,31.69,0.69,0,4.3,60.37,0,0,0.63,0,13.66,0,0,0.69,0,0,4.43,4.39,26.82,6.37,0
108-118,0,0,0,0,13.64,5.37,71.09,0,2.12,3.48,26.21,2.51,0,2.22,3.97,1.95,6.09,1.15,0,0,31.5,0,5.62,3.74,105.17,0,1.41,0,0,4.54,0,0,0.43,1.08,0,5.17,1.25,7.73,0.66,0.6
120,0,0,0,0,13.1,3.91,37.24,1.61,0,19.92,37.61,5.99,0,11.32,5.91,0,12.97,0,0,0,45.06,0,0,6.69,222.48,5.7,0,0,0,8.41,0,0,1.21,0,0,7.49,0,16.85,0,0
