stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,lateral_line,mesenchyme,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord
  5-6,31.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.2,0,0,0,0,0,0
 14-21,0,0,1.03,0,0,13.9,0,0,0.81,3.57,0,1.61,0,0,5.97,19.35
 24-34,0,0,0.65,0,0,0,0,0,0,13.44,7.44,1.51,0,0,3.69,5.77
 36-46,0,0,0,0,0,3.84,0,0,0,26.55,16.14,0,0,0,2.15,7.07
 48-58,0,0,0,1.17,0,4.2,0,0,0,47.36,11.02,0.68,0,0,0.92,4.07
 60-70,0,0,0.68,2.43,0,0,0,1.7,0,57.2,10.89,3.17,0,0,2.12,0.8
 72-82,0,0,0,1.13,1.57,5.19,1.15,2.63,0,51.78,19.81,3.73,1.77,0.75,0,0.73
 84-94,0,0.94,0,3.05,0,0.75,0,2.06,0,51.35,11.44,9.98,0,0,0.93,4.33
 96-106,0,0,0.97,2.81,1.4,0,0.86,3.15,0,11.42,17.69,10.85,0,0,0.73,0
108-118,0,0,0,0,0,5.31,0,0.9,0,6.33,10.04,7.33,2.11,0,1.71,0
120,0,0,0,0,0,35.15,0,7.81,0,11.65,14.59,1.74,0,0,7.97,0
