stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,568.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.62,461.39,0,0,0,0,0,0,0,0,38.3,0,0,0,0,0,36.24,0,0,0,0,0,6.16,0,0,0,0,0,0
  7-9,8.31,23.16,5.02,0,0,50.81,0,0,0,0,10.42,0,0,0,0,0,483.51,29.32,0,0,55.4,0,0,0,0,0,0,0,0
 10-12,0,0,6.72,0,0,46.8,0,0,0,0,0,0,0,0,0,0,89.07,0,0,0,15.64,0,0,0,0,0,0,0,0
 14-21,0,0,1.1,6.41,0,3.8,0,0,0,0,0,0,0,0,0,2.86,17.56,0,0,0,1.02,0,1.11,2.82,0,4.91,5.43,0,0
 24-34,0,0,0,0,7.59,8.89,0,0,1.03,0,0,0,0,0,0,0,44.08,1.52,0.71,0,0,0,6.66,0,4.83,0,4.07,0,0
 36-46,0,0,0,0,0,8.77,0,0,3.02,0,0,0,0,0,0,0,25.64,0,0,0,0,0,4.23,0,0.82,0,2.74,0,0
 48-58,0,0,0,0,0,5.04,0,0,5.24,0,0,0.77,0,0.63,0,0.45,27.6,0,0,0,0,0,1.92,0,0.38,0,2.38,0.62,0
 60-70,0,0,0,0,0,10.25,0,0,0.84,0,0,0,0.79,7.76,0,0,20.78,0,0.73,0,0,0,10.17,0,0,0,5.69,0,0
 72-82,0,0,0,0.79,0,0.95,4.54,0,3.87,0.6,0,0,0,4.17,0,0,3.9,0,1.09,0,0,0,0,0,0,0,1.82,0,0
 84-94,0,0,0,0,0,3.98,0,0,11.73,0,0,2.41,0,0.59,0,0,9.36,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.82,0,5,0,0,8.73,0,0,0,0,1.86,0,0,14.38,0,0,0.96,0,0,0,0,0,0,0,0,0
108-118,0,0,0,6.42,0,3.42,0,1.21,4.13,0,0,0,0.87,8.94,0.83,0,8.26,0,1.13,0,0,0.96,0,0,0,0,0.95,0,1.93
120,0,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,0,0,0,0,0,0,3.55,0
