stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,503.33,8566.52,0,0,0,0,0,0,0,0,0,0,0,0,451.16,0,0,0,0,0,0
  5-6,882.53,9053.41,13.1,0,0,0,0,21.56,0,0,409.48,23.84,0,91.25,168.07,0,0,0,0,0,0
  7-9,136.33,159.67,179.15,0,0,491.88,0,111.21,0,0,3772.34,175,0,1346.65,4.29,46.25,0,13.28,0,0,0
 10-12,3.8,38.36,108.65,0,0,124.09,0,10.21,0,0,1397.82,38.22,0,440.47,0,77.32,0,90.06,0,0,0
 14-21,0,0,4.73,19.43,3.11,3.17,4.2,0,9.98,9.45,86.21,4.76,0,15.66,5.09,0.9,11.5,0.89,0.92,18.65,14.28
 24-34,0,0,0,2.98,0,0,0,0,1.44,0.65,8.91,0,0,0,1.35,0,0,0,0,0,0.61
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.74,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.87,1.29,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0,0.76,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0.62,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0
