stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,heart,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  7-9,3.7,0,0,0,0,0,0,0,0,0,6.45,0,3.26,0,0,0,0,0,0,0
 14-21,0,0.83,0,0,0,1.2,0,0,0,0,0,0,0,0.96,1.98,2,0,0,0,0
 24-34,0,0,0,0.91,2.15,1.38,1.94,1.02,0,2,7.25,0,0,1.63,0.99,1.51,1.69,0,0,0
 36-46,0,0,0,0.95,18.63,0,0,0,0,5.99,2.97,0,0,0,8.77,0,1.44,0,1.94,0
 48-58,0,0.73,0,3.99,27.77,2.76,0,10.38,0,4.94,25.6,0,0,0.74,6.62,0,13.89,0,0,0.56
 60-70,0,2.19,0,16.07,14.61,0,0,2.07,0,3.2,4.5,0,0,1.28,3.25,0,0.8,0,0,8.91
 72-82,0,0,0,2.93,12.9,0,0,3.31,3.75,0,4.81,0,0,0,0.58,0,0,0.95,0.96,0.5
 84-94,0,0,0,0,6.05,1.33,0,5.01,0,0.96,21.8,0,0,1.11,2.66,0,7.26,0,0,0
 96-106,0,5.6,6.32,0,1,3.04,0,0,0,0,0,0.57,0,1.84,0,0,0,0,3.64,0
108-118,0,0.75,0,0,2.53,0,0,7.03,0,4.22,2.63,2.95,0,0.94,2.19,0,0,0.83,0,0
120,0,0,0,0,6.98,0,0,6.95,0,0,0,0,0,0,0,0,0,0,0,0
