stage,erythrocytes,eye,immune,mesenchyme,neural,pericytes,spinal.cord
 24-34,0,0,3.02,0,0.76,0,0
 48-58,0,0.78,0.45,0,1.23,0,1.54
 60-70,0,0,0.64,0,3.75,0,0
 72-82,4.04,0,3.36,0.6,0.69,0,0
 84-94,0,0.87,4.1,0,0,0,1.37
 96-106,0,0,5.27,0,0.61,1.47,0
108-118,0,0,6.22,0,1.91,0,0
120,0,0,21.28,0,0,0,0
