stage,blastomeres,endoderm,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,liver,mesenchyme,muscle,neural,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,visceral.smooth.muscle
  3-4,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.32,0,0,0,0,3.82,0,0,0,0,46.88,9.93,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,42.07,3.97,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,18.78,1.83,0.97,1.1,0.97,0,0,0,11.77,29.27,0.98,0
 24-34,0,0,0,0,0,0,0,20.31,0,0.88,4.09,2.14,0,0,0,0,0,0,0
 36-46,0,0,1.14,0,0,0,0,50.3,0,10.08,0,3.49,0,0,0,0,0.58,0,0
 48-58,0,0,2.73,0,0,0.38,0,70.67,0,3.25,4.41,4.89,0,0,0,0.41,0,1.66,0
 60-70,0,0,2.59,0,0,0,0,84.71,0,2.11,0,4.32,0,0,0,0,0,0,0
 72-82,0,0,10.28,0,0,0,0,80.9,0,1.38,0,1.55,0,0,0,0,0,0,0
 84-94,0,0,2.46,0,0,0,0,105.33,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,6.76,5.5,0,0,0,145.7,0,0,0,0,0,0,6.16,0,0,0,0
108-118,0,0,1.05,0.52,1.04,0,0,161.76,0,5.75,0,0,0,2.05,0,0,0,0,0
120,0,0,0,5.71,0,0,0,171.26,0,0,0,16.64,0,18.18,0,0,0,0,5.18
