stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.87,0,0,0,15.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,17.85,0,0,0,0,0,0,0,0
 14-21,0,0,1.7,0,0,1.95,0,1.53,0,0,0,0,0,0,0,3.43,1.12,0,1.31,34.92,0.81,5.27,0,0,0,1.7,1.49,8.51,0,0,0,0
 24-34,0,0.7,1.94,0.62,0,7.5,0,0,0,0,0,0,0,0,0,0,3.56,0,1.51,89.44,0.61,0,0,0,3.27,0,0,11.42,0,1.26,0,0
 36-46,0,0,0,0,0,16.77,0.72,2.46,0,0,0,0,0,1.36,0,0,7.69,0,0,103.52,0,0,0,0,0.82,0,0,20.05,0,4.1,0,0
 48-58,0,0,1.3,0,0,12.31,0,1.24,0,0,0,0,0,0,0,0.56,6.94,1.9,0.53,72.62,0,0,0,0,0.8,0,0,19.62,0.85,12.44,0,0
 60-70,0,0,0,0,0,35.44,0,0.97,0,1.38,0.64,0.59,0,0,0,0,12.29,0.78,2.29,140.03,0,0,0,0,4.05,0,0,17.65,0,0,0,0
 72-82,0,0,1.13,2,0,42.24,2.27,6.37,1.68,0,0,0,0,0,0,0,10.63,0,0.66,54.94,0,0,0,0,2.99,0,0,1.84,0.66,1.03,0,4.1
 84-94,0,0,9.47,0,0,33.37,1.17,3.81,0,0,0,0,0,0,0,0,7.73,0,0.68,44.56,0.72,0,0.72,0,0.73,0,0,1.93,0,0,0,0
 96-106,0,0,0.93,0,1.14,19.83,0,0.57,0,0,0,0,1.47,0,4.34,0,9.76,0,0.57,45.78,0,0,0,0,5.92,0,0,0,0,2.1,0,0
108-118,0,0,0.45,0,0,23.69,0,3.11,0.89,0,0,0,6.82,0,0,0,1.53,0,0,41.84,0,0,0,0,2.3,0,0,0,0,2.28,1.09,2.09
120,0,0,0,0,0,6.85,0,4.83,0,0,0,0,0,0,0,0,0,0,14.71,19.69,0,0,0,0,2.6,0,0,0,0,0,0,0
