stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,293.39,4181.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5546.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,317.64,5329.5,0,45.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707.13,0,0,0,179.18,0,3398.15,0,0,0,0,0,0,0,0,0,0,0
  7-9,50.65,210.37,0,359.29,0,0,0,62.44,0,0,0,0,0,57.39,0,0,0,0,0,0,0,0,0,2701.18,47.05,0,0,5509.06,0,172.98,53.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,113.09,0,528.08,0,4.74,0,45.16,0,0,0,0,0,20.04,0,0,0,0,0,0,0,0,0,1814.02,14.28,0,0,3496.86,0,74.41,6.79,3.57,155.31,0,11.57,0,0,0,0,0,0
 14-21,0,0,0.82,38.59,115.56,14.16,0,1.75,0,0,0,8.17,5.69,0,0,44.62,0,0,0,28.8,0,0,9.13,85.71,14.84,0,0,663.57,0,221.51,0,395.93,11.09,0.95,101.43,107.33,0,0,4.39,0,0
 24-34,0,0,0,7.24,31.11,2.86,0,5.9,0,0,1.66,5.81,5.22,0,2.36,81.96,0,0,0.86,9.42,6.58,0,6.95,83.9,1.44,26.75,0,0,0,37.35,0,0,54.78,0,24.58,39.47,0,0,1.47,0,0
 36-46,0,0,0,0,31.42,0.57,0,11.9,0.59,2.04,3.31,4.4,1.33,0,0.65,36.46,0,0,0,8.46,1.98,0,1.86,61.5,0,36.94,0,0,0,44.51,0,0,25.78,0,0,35.86,0,0,4.21,0,0.9
 48-58,0,0,0,0,26.82,0.81,0,13.38,0,2,1.13,17.8,0,0,0,15.01,0,0,0,9.85,3.09,0,1.85,66.98,0,41.95,0,0,0,24.46,0,0,10.94,0,0,17.88,0,0,3.98,0,5.32
 60-70,0,0,0,0,28.87,0,0,8.87,0,10.38,0,99.77,0.65,0,0,15.05,0,0,0,15.75,2.56,2.39,1.75,62.1,0,92.83,1.1,0,2.12,15.77,0,0,18.56,0,0,3.75,0.61,0,0,0,0
 72-82,0,0,3.05,0,17.15,0.54,0,20.7,0.95,3.02,1.51,717.66,2.84,0,0,43.65,0,0,0.79,45.36,0.71,0,1.22,160.44,0,122.94,1.68,0,0,11.38,0,0,7.43,0,0,15.3,0,0,0,0,0
 84-94,0,0,5.25,0,45.7,0,0,17.92,0,4.3,0.64,634.68,4.67,0,0,59.43,0,1.53,0.89,23.16,0.6,4.5,0,117.54,0,148.06,1.85,0,0,56.31,0,0,38.09,0,0,0.94,1.86,0,0,0.89,0
 96-106,0,0,1.11,0,41.53,0,0,27.3,0,6.51,3.68,1572.55,12.55,0,0,58.76,0,1.55,2.38,20.53,7.09,0,0.9,158.2,0,243.96,6.24,0,2.81,41.26,0,0,24.1,0,0,6.92,2.15,0,1.33,0,0
108-118,0,0,4.84,0,47.95,0,3.09,10.41,0,10.97,8.57,1245.05,19.9,0,0,56.06,0.44,0,7.67,31.97,3.2,0,1.21,162.63,0,164.44,2.93,0,0,32.93,0,0,29.25,0,0,1.39,4.47,1.1,0.5,1.59,0
120,0,0,17.17,0,58.32,0,3.41,11.6,0,1,4.82,996.49,42.47,0,0,40.26,2.23,0,3.84,20.74,0,0,0,133.53,0,160.43,0,0,0,18.39,0,0,15.27,0,0,18.71,1.19,0,0,0,0
