stage,epidermis,eye,fin.epithelia,glial,heart,mesenchyme,mural.cell,muscle,neural,spinal.cord,visceral.smooth.muscle
 36-46,0,0,0,0,0,0,0,0,0,1.22,0
 48-58,0,0,0,0,0,0.61,0,0,0,0.38,0
 60-70,0,0,0,0,0,0,0,0,10.58,0,0.73
 72-82,0,0,0,3.56,0,2.8,1.28,0.84,0,0,0
 84-94,0,0,0,0,0,1.34,0,0,0,3.26,0
 96-106,0,4.42,0,6.7,0,5.53,0,0,0,0,0
108-118,1.08,1.22,0.59,1.26,0,9.69,0,0,0,0,0
120,0,0,0,0,2.63,22.03,0,0,0,0,0
