stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,130.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.43,0,0,0,0,0
  5-6,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32,0,0,0,4.09,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.83,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,17.21,0,0.98,0,0,0,0,0,7.83,0,0,0
 24-34,0,0.96,0,0,2.2,0,0.63,0,0,0,0,1.98,0,0,216.69,0,0.65,1.21,0,0,0,0,48.06,0,0,0
 36-46,0,0,0,0,25.43,0,6.62,0,0,0,8.43,1.49,0,0,421.16,1.72,4.59,0,0,0,0,0,77.79,0,0,0
 48-58,0,0,1.63,0,70.59,0,15.45,0,0,0,0,13.73,0,0.76,562.03,0,1.8,3.32,0,0,0,0,65.25,0,0,0
 60-70,0,0,2.28,0,186.93,0,28.07,0,0,0,0,5.86,0,0,744.35,0,1.92,12.47,0,0,0,0,99.17,0,0,0
 72-82,0,0.87,2.37,0,155.12,0,15.18,0,0.67,0,0,7.49,0.54,0,521.34,0,0,1.46,0,1.08,0,0,39.85,0,0,0
 84-94,0,0,3.69,0.76,148.54,0.66,17.47,0,5.33,0,0,23.89,2.5,0,322.4,0,9.56,6.71,0,0,0,1.44,33.26,2.12,1.16,0
 96-106,0,0,0,0,82.87,0,14.91,0,0,0,0,10.4,0,0,253.67,0,1.65,4.21,0,0,0,0,9.82,0,0,0.59
108-118,0,0.85,3,0,138.37,0,21.38,0.88,0,1.01,0,16.18,0,0,314.19,0,1.04,14.27,0,0,0,0.94,16.67,0,0.55,0
120,0,0,15.69,0,100,0,23.49,0,0,0,0,29.87,1.38,3.76,442.78,0,5.76,5.88,0,0,0,1.13,36.84,0,2.66,0
